 

stn;time;tre200h0
BEMBE;2020123000;-3.9
BEMBE;2020123001;-3.3
BEMBE;2020123002;-2.6
BEMBE;2020123003;-2.7
BEMBE;2020123004;-2.9
BEMBE;2020123005;-3.2
BEMBE;2020123006;-3.7
BEMBE;2020123007;-3.7
BEMBE;2020123008;-3.7
BEMBE;2020123009;-3.5
BEMBE;2020123010;-2.8
BEMBE;2020123011;-2.5
BEMBE;2020123012;-2.6
BEMBE;2020123013;-1.8
BEMBE;2020123014;-2.3
BEMBE;2020123015;-2.6
BEMBE;2020123016;-3.1
BEMBE;2020123017;-3.4
BEMBE;2020123018;-3.6
BEMBE;2020123019;-3.9
BEMBE;2020123020;-4.1
BEMBE;2020123021;-4.2
BEMBE;2020123022;-4.4
BEMBE;2020123023;-4.7
BEMBE;2020123100;-4.7
BEMBE;2020123101;-4.7
BEMBE;2020123102;-5.1
BEMBE;2020123103;-5.4
BEMBE;2020123104;-5.8
BEMBE;2020123105;-5.5
BEMBE;2020123106;-4.3
BEMBE;2020123107;-4.2
BEMBE;2020123108;-4.4
BEMBE;2020123109;-2.1
BEMBE;2020123110;-1.2
BEMBE;2020123111;-1.4
BEMBE;2020123112;0.5
BEMBE;2020123113;0.9
BEMBE;2020123114;-0.2
BEMBE;2020123115;-0.3
BEMBE;2020123116;-1.5
BEMBE;2020123117;-2.4
BEMBE;2020123118;-2.6
BEMBE;2020123119;-1.6
BEMBE;2020123120;-1.2
BEMBE;2020123121;-0.4
BEMBE;2020123122;-0.4
BEMBE;2020123123;-0.1
BEMBE;2021010100;-1.8
BEMBE;2021010101;-1.7
BEMBE;2021010102;-1.4
BEMBE;2021010103;-2.2
BEMBE;2021010104;-3.2
BEMBE;2021010105;-2.3
BEMBE;2021010106;-2.1
BEMBE;2021010107;-2.3
BEMBE;2021010108;-2.7
BEMBE;2021010109;-2.9
BEMBE;2021010110;-2.8
BEMBE;2021010111;-2.9
BEMBE;2021010112;-3.1
BEMBE;2021010113;-3.1
BEMBE;2021010114;-3.3
BEMBE;2021010115;-3.5
BEMBE;2021010116;-3.9
BEMBE;2021010117;-3.8
BEMBE;2021010118;-4.0
BEMBE;2021010119;-4.1
BEMBE;2021010120;-4.1
BEMBE;2021010121;-4.1
BEMBE;2021010122;-4.1
BEMBE;2021010123;-4.1
BEMBE;2021010200;-4.1
BEMBE;2021010201;-4.1
BEMBE;2021010202;-4.1
BEMBE;2021010203;-4.1
BEMBE;2021010204;-4.1
BEMBE;2021010205;-4.2
BEMBE;2021010206;-4.2
BEMBE;2021010207;-4.3
BEMBE;2021010208;-4.3
BEMBE;2021010209;-4.0
BEMBE;2021010210;-3.7
BEMBE;2021010211;-3.8
BEMBE;2021010212;-3.8
BEMBE;2021010213;-3.7
BEMBE;2021010214;-4.2
BEMBE;2021010215;-4.4
BEMBE;2021010216;-4.6
BEMBE;2021010217;-4.8
BEMBE;2021010218;-5.0
BEMBE;2021010219;-5.1
BEMBE;2021010220;-5.2
BEMBE;2021010221;-5.3
BEMBE;2021010222;-5.3
BEMBE;2021010223;-5.4
BEMBE;2021010300;-5.5
BEMBE;2021010301;-5.6
BEMBE;2021010302;-5.8
BEMBE;2021010303;-5.8
BEMBE;2021010304;-5.9
BEMBE;2021010305;-5.9
BEMBE;2021010306;-6.0
BEMBE;2021010307;-6.0
BEMBE;2021010308;-5.9
BEMBE;2021010309;-5.4
BEMBE;2021010310;-4.9
BEMBE;2021010311;-3.8
BEMBE;2021010312;-3.3
