 

stn;time;tre200h0
INNEBI;2020123000;0.7
INNEBI;2020123001;0.6
INNEBI;2020123002;0.0
INNEBI;2020123003;0.3
INNEBI;2020123004;-0.3
INNEBI;2020123005;-0.2
INNEBI;2020123006;-0.5
INNEBI;2020123007;-0.7
INNEBI;2020123008;-0.6
INNEBI;2020123009;0.0
INNEBI;2020123010;0.6
INNEBI;2020123011;1.0
INNEBI;2020123012;2.1
INNEBI;2020123013;3.0
INNEBI;2020123014;3.2
INNEBI;2020123015;3.2
INNEBI;2020123016;2.9
INNEBI;2020123017;2.2
INNEBI;2020123018;1.7
INNEBI;2020123019;0.9
INNEBI;2020123020;0.9
INNEBI;2020123021;1.4
INNEBI;2020123022;1.4
INNEBI;2020123023;1.6
INNEBI;2020123100;1.4
INNEBI;2020123101;1.2
INNEBI;2020123102;0.9
INNEBI;2020123103;0.1
INNEBI;2020123104;-0.5
INNEBI;2020123105;-0.6
INNEBI;2020123106;-1.3
INNEBI;2020123107;-1.7
INNEBI;2020123108;-1.5
INNEBI;2020123109;-0.7
INNEBI;2020123110;0.2
INNEBI;2020123111;0.3
INNEBI;2020123112;1.2
INNEBI;2020123113;2.0
INNEBI;2020123114;2.0
INNEBI;2020123115;1.9
INNEBI;2020123116;1.7
INNEBI;2020123117;1.5
INNEBI;2020123118;1.6
INNEBI;2020123119;1.5
INNEBI;2020123120;1.0
INNEBI;2020123121;0.7
INNEBI;2020123122;0.3
INNEBI;2020123123;-0.1
INNEBI;2021010100;-0.1
INNEBI;2021010101;0.1
INNEBI;2021010102;0.6
INNEBI;2021010103;0.9
INNEBI;2021010104;0.9
INNEBI;2021010105;0.9
INNEBI;2021010106;1.0
INNEBI;2021010107;0.8
INNEBI;2021010108;0.7
INNEBI;2021010109;1.0
INNEBI;2021010110;1.2
INNEBI;2021010111;1.6
INNEBI;2021010112;1.9
INNEBI;2021010113;2.0
INNEBI;2021010114;1.8
INNEBI;2021010115;1.7
INNEBI;2021010116;1.5
INNEBI;2021010117;1.6
INNEBI;2021010118;1.4
INNEBI;2021010119;1.3
INNEBI;2021010120;1.5
INNEBI;2021010121;1.4
INNEBI;2021010122;1.4
INNEBI;2021010123;1.3
INNEBI;2021010200;1.1
INNEBI;2021010201;1.1
INNEBI;2021010202;1.3
INNEBI;2021010203;1.4
INNEBI;2021010204;1.4
INNEBI;2021010205;1.4
INNEBI;2021010206;1.4
INNEBI;2021010207;1.2
INNEBI;2021010208;1.2
INNEBI;2021010209;1.4
INNEBI;2021010210;1.6
INNEBI;2021010211;1.7
INNEBI;2021010212;1.8
INNEBI;2021010213;1.7
INNEBI;2021010214;1.6
INNEBI;2021010215;1.4
INNEBI;2021010216;1.3
INNEBI;2021010217;1.2
INNEBI;2021010218;0.9
INNEBI;2021010219;0.9
INNEBI;2021010220;0.9
INNEBI;2021010221;0.8
INNEBI;2021010222;0.8
INNEBI;2021010223;0.6
INNEBI;2021010300;0.2
INNEBI;2021010301;-0.2
INNEBI;2021010302;-0.3
INNEBI;2021010303;-0.3
INNEBI;2021010304;-0.3
INNEBI;2021010305;-0.4
INNEBI;2021010306;-0.2
INNEBI;2021010307;-0.2
INNEBI;2021010308;-0.2
INNEBI;2021010309;-0.1
INNEBI;2021010310;0.2
INNEBI;2021010311;0.3
INNEBI;2021010312;0.6
INNEBI;2021010313;0.6
INNEBI;2021010314;0.8
INNEBI;2021010315;0.8
INNEBI;2021010316;0.7
INNEBI;2021010317;0.7
INNEBI;2021010318;0.5
INNEBI;2021010319;0.3
INNEBI;2021010320;0.1
INNEBI;2021010321;-0.2
INNEBI;2021010322;-0.6
INNEBI;2021010323;-1.2
