 

stn;time;tre200h0
LUZ;2020123000;0.0
LUZ;2020123001;-0.4
LUZ;2020123002;-0.7
LUZ;2020123003;-0.8
LUZ;2020123004;-1.2
LUZ;2020123005;-1.2
LUZ;2020123006;-1.5
LUZ;2020123007;-1.9
LUZ;2020123008;-0.7
LUZ;2020123009;0.6
LUZ;2020123010;1.3
LUZ;2020123011;2.1
LUZ;2020123012;2.5
LUZ;2020123013;3.1
LUZ;2020123014;3.1
LUZ;2020123015;3.0
LUZ;2020123016;2.8
LUZ;2020123017;2.3
LUZ;2020123018;1.8
LUZ;2020123019;1.5
LUZ;2020123020;1.5
LUZ;2020123021;1.4
LUZ;2020123022;1.2
LUZ;2020123023;1.2
LUZ;2020123100;1.0
LUZ;2020123101;0.7
LUZ;2020123102;0.7
LUZ;2020123103;0.4
LUZ;2020123104;-0.3
LUZ;2020123105;-0.9
LUZ;2020123106;-1.1
LUZ;2020123107;-1.3
LUZ;2020123108;-0.9
LUZ;2020123109;0.0
LUZ;2020123110;0.9
LUZ;2020123111;1.7
LUZ;2020123112;1.9
LUZ;2020123113;2.5
LUZ;2020123114;2.6
LUZ;2020123115;2.5
LUZ;2020123116;2.2
LUZ;2020123117;1.9
LUZ;2020123118;1.7
LUZ;2020123119;1.7
LUZ;2020123120;1.6
LUZ;2020123121;0.5
LUZ;2020123122;0.2
LUZ;2020123123;0.7
LUZ;2021010100;1.1
LUZ;2021010101;0.5
LUZ;2021010102;0.8
LUZ;2021010103;0.8
LUZ;2021010104;1.1
LUZ;2021010105;1.1
LUZ;2021010106;1.4
LUZ;2021010107;1.3
LUZ;2021010108;1.4
LUZ;2021010109;1.7
LUZ;2021010110;2.2
LUZ;2021010111;2.3
LUZ;2021010112;2.5
LUZ;2021010113;2.5
LUZ;2021010114;2.4
LUZ;2021010115;2.2
LUZ;2021010116;2.0
LUZ;2021010117;1.9
LUZ;2021010118;1.8
LUZ;2021010119;1.8
LUZ;2021010120;1.9
LUZ;2021010121;1.9
LUZ;2021010122;1.8
LUZ;2021010123;1.8
LUZ;2021010200;1.7
LUZ;2021010201;1.8
LUZ;2021010202;1.9
LUZ;2021010203;1.9
LUZ;2021010204;1.8
LUZ;2021010205;1.8
LUZ;2021010206;1.7
LUZ;2021010207;1.6
LUZ;2021010208;1.6
LUZ;2021010209;1.8
LUZ;2021010210;1.9
LUZ;2021010211;2.0
LUZ;2021010212;2.1
LUZ;2021010213;2.0
LUZ;2021010214;1.9
LUZ;2021010215;1.8
LUZ;2021010216;1.6
LUZ;2021010217;1.3
LUZ;2021010218;1.1
LUZ;2021010219;1.2
LUZ;2021010220;1.1
LUZ;2021010221;1.0
LUZ;2021010222;0.8
LUZ;2021010223;0.6
LUZ;2021010300;0.4
LUZ;2021010301;0.1
LUZ;2021010302;0.1
LUZ;2021010303;0.2
LUZ;2021010304;0.2
LUZ;2021010305;0.2
LUZ;2021010306;0.2
LUZ;2021010307;0.3
LUZ;2021010308;0.3
LUZ;2021010309;0.5
LUZ;2021010310;0.7
LUZ;2021010311;0.9
LUZ;2021010312;1.0
LUZ;2021010313;1.1
LUZ;2021010314;1.1
LUZ;2021010315;1.1
LUZ;2021010316;1.1
LUZ;2021010317;1.0
LUZ;2021010318;1.0
LUZ;2021010319;0.9
LUZ;2021010320;0.8
LUZ;2021010321;0.5
LUZ;2021010322;0.4
LUZ;2021010323;-0.2
LUZ;2021010400;-0.5
LUZ;2021010401;-0.5
LUZ;2021010402;-0.3
LUZ;2021010403;-0.3
LUZ;2021010404;-0.3
LUZ;2021010405;-0.3
LUZ;2021010406;-0.4
LUZ;2021010407;-0.4
LUZ;2021010408;-0.3
LUZ;2021010409;-0.2
LUZ;2021010410;0.0
LUZ;2021010411;0.1
LUZ;2021010412;0.2
LUZ;2021010413;0.5
LUZ;2021010414;0.8
LUZ;2021010415;0.9
LUZ;2021010416;0.8
LUZ;2021010417;0.5
LUZ;2021010418;0.4
LUZ;2021010419;0.2
LUZ;2021010420;0.3
LUZ;2021010421;0.2
LUZ;2021010422;0.2
LUZ;2021010423;0.1
LUZ;2021010500;0.0
LUZ;2021010501;-0.1
LUZ;2021010502;-0.1
LUZ;2021010503;-0.1
LUZ;2021010504;0.0
LUZ;2021010505;-0.1
LUZ;2021010506;-0.2
LUZ;2021010507;-0.3
LUZ;2021010508;-0.5
LUZ;2021010509;-0.6
LUZ;2021010510;-0.5
LUZ;2021010511;-0.2
LUZ;2021010512;-0.1
LUZ;2021010513;-0.1
LUZ;2021010514;0.0
LUZ;2021010515;-0.1
LUZ;2021010516;0.0
LUZ;2021010517;0.0
LUZ;2021010518;-0.1
LUZ;2021010519;-0.2
LUZ;2021010520;-0.2
LUZ;2021010521;-0.1
LUZ;2021010522;-0.2
LUZ;2021010523;-0.3
LUZ;2021010600;-0.5
LUZ;2021010601;-0.6
LUZ;2021010602;-0.6
LUZ;2021010603;-0.5
LUZ;2021010604;-0.5
LUZ;2021010605;-0.8
LUZ;2021010606;-0.7
LUZ;2021010607;-1.1
LUZ;2021010608;-1.1
LUZ;2021010609;-0.8
LUZ;2021010610;-0.3
LUZ;2021010611;0.0
LUZ;2021010612;0.3
LUZ;2021010613;0.4
LUZ;2021010614;0.2
LUZ;2021010615;0.3
LUZ;2021010616;0.1
LUZ;2021010617;-0.3
LUZ;2021010618;-0.3
LUZ;2021010619;-0.2
LUZ;2021010620;-0.4
LUZ;2021010621;-0.3
