 

stn;time;tre200h0
MMTRG;2020123000;1.5
MMTRG;2020123001;1.1
MMTRG;2020123002;0.7
MMTRG;2020123003;-0.3
MMTRG;2020123004;-0.1
MMTRG;2020123005;-0.1
MMTRG;2020123006;0.1
MMTRG;2020123007;0.1
MMTRG;2020123008;0.2
MMTRG;2020123009;0.5
MMTRG;2020123010;0.6
MMTRG;2020123011;1.4
MMTRG;2020123012;2.0
MMTRG;2020123013;2.7
MMTRG;2020123014;3.6
MMTRG;2020123015;3.7
MMTRG;2020123016;3.2
MMTRG;2020123017;2.1
MMTRG;2020123018;1.6
MMTRG;2020123019;1.6
MMTRG;2020123020;1.7
MMTRG;2020123021;1.5
MMTRG;2020123022;1.3
MMTRG;2020123023;0.9
MMTRG;2020123100;0.4
MMTRG;2020123101;0.2
MMTRG;2020123102;0.0
MMTRG;2020123103;-0.3
MMTRG;2020123104;-1.5
MMTRG;2020123105;-2.0
MMTRG;2020123106;-2.5
MMTRG;2020123107;-2.3
MMTRG;2020123108;-1.8
MMTRG;2020123109;-1.6
MMTRG;2020123110;-0.7
MMTRG;2020123111;0.6
MMTRG;2020123112;2.0
MMTRG;2020123113;2.5
MMTRG;2020123114;2.6
MMTRG;2020123115;2.6
MMTRG;2020123116;2.2
MMTRG;2020123117;1.4
MMTRG;2020123118;1.1
MMTRG;2020123119;0.8
MMTRG;2020123120;0.5
MMTRG;2020123121;0.4
MMTRG;2020123122;0.0
MMTRG;2020123123;-0.2
MMTRG;2021010100;0.0
MMTRG;2021010101;0.2
MMTRG;2021010102;0.2
MMTRG;2021010103;0.7
MMTRG;2021010104;0.4
MMTRG;2021010105;0.3
MMTRG;2021010106;0.2
MMTRG;2021010107;0.1
MMTRG;2021010108;0.1
MMTRG;2021010109;0.2
MMTRG;2021010110;0.7
MMTRG;2021010111;0.8
MMTRG;2021010112;0.7
MMTRG;2021010113;0.8
MMTRG;2021010114;0.9
MMTRG;2021010115;1.0
MMTRG;2021010116;1.2
MMTRG;2021010117;1.1
MMTRG;2021010118;0.9
MMTRG;2021010119;0.9
MMTRG;2021010120;1.1
MMTRG;2021010121;1.2
MMTRG;2021010122;1.3
