 

stn;time;tre200h0
MOA;2020123000;1.2
MOA;2020123001;0.2
MOA;2020123002;-0.2
MOA;2020123003;-1.1
MOA;2020123004;-0.3
MOA;2020123005;-0.3
MOA;2020123006;-0.3
MOA;2020123007;0.1
MOA;2020123008;0.0
MOA;2020123009;0.2
MOA;2020123010;0.7
MOA;2020123011;1.9
MOA;2020123012;3.4
MOA;2020123013;3.8
MOA;2020123014;3.9
MOA;2020123015;3.7
MOA;2020123016;3.3
MOA;2020123017;2.5
MOA;2020123018;1.9
MOA;2020123019;2.1
MOA;2020123020;1.8
MOA;2020123021;1.5
MOA;2020123022;1.6
MOA;2020123023;0.9
MOA;2020123100;-0.1
MOA;2020123101;-0.3
MOA;2020123102;0.0
MOA;2020123103;-1.0
MOA;2020123104;-2.0
MOA;2020123105;-2.6
MOA;2020123106;-2.8
MOA;2020123107;-2.5
MOA;2020123108;-1.5
MOA;2020123109;-0.8
MOA;2020123110;-0.3
MOA;2020123111;0.6
MOA;2020123112;2.2
MOA;2020123113;2.3
MOA;2020123114;2.3
MOA;2020123115;2.2
MOA;2020123116;1.7
MOA;2020123117;1.1
MOA;2020123118;1.3
MOA;2020123119;0.5
MOA;2020123120;0.4
MOA;2020123121;-0.1
MOA;2020123122;-0.6
MOA;2020123123;-0.1
MOA;2021010100;0.2
MOA;2021010101;0.3
MOA;2021010102;0.3
MOA;2021010103;0.5
MOA;2021010104;0.5
MOA;2021010105;0.5
MOA;2021010106;0.2
MOA;2021010107;0.0
MOA;2021010108;0.0
MOA;2021010109;0.2
MOA;2021010110;1.1
MOA;2021010111;1.9
MOA;2021010112;1.7
MOA;2021010113;1.7
MOA;2021010114;1.7
MOA;2021010115;1.7
MOA;2021010116;1.7
MOA;2021010117;1.6
MOA;2021010118;1.5
MOA;2021010119;1.5
MOA;2021010120;1.5
MOA;2021010121;1.4
MOA;2021010122;1.4
MOA;2021010123;1.3
MOA;2021010200;1.5
MOA;2021010201;1.5
MOA;2021010202;1.3
MOA;2021010203;1.3
MOA;2021010204;1.3
MOA;2021010205;1.2
MOA;2021010206;1.2
MOA;2021010207;1.2
MOA;2021010208;1.2
MOA;2021010209;1.2
MOA;2021010210;1.2
MOA;2021010211;1.3
MOA;2021010212;1.3
MOA;2021010213;1.3
MOA;2021010214;1.2
MOA;2021010215;1.1
MOA;2021010216;1.0
MOA;2021010217;0.9
MOA;2021010218;0.8
MOA;2021010219;0.8
MOA;2021010220;0.7
MOA;2021010221;0.6
MOA;2021010222;0.5
MOA;2021010223;0.4
MOA;2021010300;0.2
MOA;2021010301;0.0
MOA;2021010302;-0.1
MOA;2021010303;-0.1
MOA;2021010304;-0.3
MOA;2021010305;-0.3
MOA;2021010306;-0.3
MOA;2021010307;-0.4
MOA;2021010308;-0.4
MOA;2021010309;-0.4
MOA;2021010310;-0.3
MOA;2021010311;0.0
MOA;2021010312;0.2
MOA;2021010313;0.4
MOA;2021010314;0.5
MOA;2021010315;0.5
MOA;2021010316;0.5
MOA;2021010317;0.3
MOA;2021010318;0.0
MOA;2021010319;-0.3
MOA;2021010320;-0.6
MOA;2021010321;-1.0
MOA;2021010322;-1.7
MOA;2021010323;-2.8
MOA;2021010400;-3.1
MOA;2021010401;-2.8
MOA;2021010402;-2.4
MOA;2021010403;-1.9
MOA;2021010404;-1.4
MOA;2021010405;-1.1
MOA;2021010406;-1.0
MOA;2021010407;-0.9
MOA;2021010408;-0.9
MOA;2021010409;-0.6
MOA;2021010410;-0.2
MOA;2021010411;0.1
MOA;2021010412;0.1
MOA;2021010413;0.2
MOA;2021010414;0.2
MOA;2021010415;0.1
MOA;2021010416;-0.2
MOA;2021010417;-0.3
MOA;2021010418;-0.4
MOA;2021010419;-0.4
MOA;2021010420;-0.5
MOA;2021010421;-0.6
MOA;2021010422;-0.6
MOA;2021010423;-0.7
MOA;2021010500;-0.8
MOA;2021010501;-0.9
MOA;2021010502;-0.9
MOA;2021010503;-1.0
MOA;2021010504;-1.1
MOA;2021010505;-1.2
MOA;2021010506;-1.2
MOA;2021010507;-1.1
MOA;2021010508;-1.2
MOA;2021010509;-1.1
MOA;2021010510;-1.1
MOA;2021010511;-0.9
MOA;2021010512;-0.8
MOA;2021010513;-0.7
MOA;2021010514;-0.6
MOA;2021010515;-0.7
MOA;2021010516;-0.7
MOA;2021010517;-0.8
MOA;2021010518;-0.8
MOA;2021010519;-0.8
MOA;2021010520;-0.8
MOA;2021010521;-0.9
MOA;2021010522;-0.9
MOA;2021010523;-1.0
MOA;2021010600;-0.9
MOA;2021010601;-1.0
MOA;2021010602;-1.0
MOA;2021010603;-1.0
MOA;2021010604;-1.1
MOA;2021010605;-1.2
MOA;2021010606;-1.4
MOA;2021010607;-1.7
MOA;2021010608;-1.9
MOA;2021010609;-1.8
MOA;2021010610;-1.2
MOA;2021010611;-0.9
MOA;2021010612;-0.4
MOA;2021010613;-0.5
MOA;2021010614;-0.9
MOA;2021010615;-0.8
MOA;2021010616;-0.9
MOA;2021010617;-1.2
MOA;2021010618;-1.2
MOA;2021010619;-1.2
MOA;2021010620;-1.1
MOA;2021010621;-0.8
MOA;2021010622;-0.7
MOA;2021010623;-0.9
MOA;2021010700;-1.0
MOA;2021010701;-1.0
MOA;2021010702;-1.0
MOA;2021010703;-1.0
MOA;2021010704;-1.2
MOA;2021010705;-1.4
MOA;2021010706;-1.6
MOA;2021010707;-1.7
MOA;2021010708;-1.9
MOA;2021010709;-1.9
MOA;2021010710;-1.1
MOA;2021010711;-0.4
MOA;2021010712;-0.7
MOA;2021010713;0.3
MOA;2021010714;0.2
MOA;2021010715;-0.2
MOA;2021010716;-0.6
MOA;2021010717;-0.9
MOA;2021010718;-1.1
MOA;2021010719;-1.3
MOA;2021010720;-1.4
MOA;2021010721;-1.4
MOA;2021010722;-1.9
MOA;2021010723;-2.2
MOA;2021010800;-2.0
MOA;2021010801;-1.4
MOA;2021010802;-1.3
MOA;2021010803;-1.3
MOA;2021010804;-1.7
MOA;2021010805;-2.2
MOA;2021010806;-2.3
MOA;2021010807;-2.3
MOA;2021010808;-3.3
MOA;2021010809;-3.0
MOA;2021010810;-1.5
MOA;2021010811;-0.4
MOA;2021010812;0.2
MOA;2021010813;0.7
MOA;2021010814;0.9
MOA;2021010815;1.2
MOA;2021010816;0.5
MOA;2021010817;-1.5
MOA;2021010818;-3.9
MOA;2021010819;-5.3
MOA;2021010820;-6.2
MOA;2021010821;-6.1
MOA;2021010822;-7.2
MOA;2021010823;-7.4
MOA;2021010900;-7.6
MOA;2021010901;-7.8
MOA;2021010902;-7.9
MOA;2021010903;-8.1
MOA;2021010904;-7.4
MOA;2021010905;-7.2
MOA;2021010906;-7.9
MOA;2021010907;-7.6
MOA;2021010908;-6.0
MOA;2021010909;-4.2
MOA;2021010910;-3.1
MOA;2021010911;-2.4
MOA;2021010912;-1.6
MOA;2021010913;-0.9
MOA;2021010914;-0.6
MOA;2021010915;-0.5
MOA;2021010916;-0.4
MOA;2021010917;-0.6
MOA;2021010918;-0.8
MOA;2021010919;-0.9
MOA;2021010920;-1.0
MOA;2021010921;-1.2
MOA;2021010922;-1.6
MOA;2021010923;-1.8
MOA;2021011000;-1.8
MOA;2021011001;-1.8
MOA;2021011002;-1.8
MOA;2021011003;-1.9
MOA;2021011004;-2.0
MOA;2021011005;-2.0
MOA;2021011006;-2.1
MOA;2021011007;-2.2
MOA;2021011008;-2.3
MOA;2021011009;-2.4
MOA;2021011010;-2.4
MOA;2021011011;-2.2
MOA;2021011012;-1.4
MOA;2021011013;-1.1
MOA;2021011014;-0.8
MOA;2021011015;-0.8
MOA;2021011016;-1.3
MOA;2021011017;-1.4
MOA;2021011018;-1.6
MOA;2021011019;-1.9
MOA;2021011020;-2.2
MOA;2021011021;-2.4
MOA;2021011022;-2.5
MOA;2021011023;-2.6
MOA;2021011100;-2.7
MOA;2021011101;-2.8
MOA;2021011102;-2.9
MOA;2021011103;-3.0
MOA;2021011104;-3.2
MOA;2021011105;-3.3
MOA;2021011106;-3.4
MOA;2021011107;-3.5
MOA;2021011108;-3.5
MOA;2021011109;-3.5
MOA;2021011110;-3.4
MOA;2021011111;-3.4
MOA;2021011112;-3.2
MOA;2021011113;-2.6
MOA;2021011114;-2.4
MOA;2021011115;-2.5
MOA;2021011116;-4.4
MOA;2021011117;-5.9
MOA;2021011118;-6.7
MOA;2021011119;-7.2
MOA;2021011120;-6.0
MOA;2021011121;-5.1
MOA;2021011122;-6.1
MOA;2021011123;-7.2
MOA;2021011200;-7.2
MOA;2021011201;-6.1
MOA;2021011202;-6.0
MOA;2021011203;-4.1
MOA;2021011204;-3.3
MOA;2021011205;-2.2
MOA;2021011206;-1.5
MOA;2021011207;-2.0
MOA;2021011208;-2.7
MOA;2021011209;-0.7
MOA;2021011210;0.1
MOA;2021011211;0.2
MOA;2021011212;-0.5
MOA;2021011213;-0.5
MOA;2021011214;-0.4
MOA;2021011215;0.1
MOA;2021011216;0.6
MOA;2021011217;1.0
MOA;2021011218;1.6
MOA;2021011219;1.9
MOA;2021011220;2.3
MOA;2021011221;2.4
MOA;2021011222;2.4
MOA;2021011223;2.7
MOA;2021011300;2.7
MOA;2021011301;2.8
MOA;2021011302;2.6
MOA;2021011303;1.8
MOA;2021011304;1.3
MOA;2021011305;0.7
MOA;2021011306;0.9
MOA;2021011307;1.0
MOA;2021011308;-0.2
MOA;2021011309;-0.3
MOA;2021011310;0.6
MOA;2021011311;2.2
MOA;2021011312;3.3
MOA;2021011313;4.1
MOA;2021011314;4.4
MOA;2021011315;4.5
