 

stn;time;tre200h0
NABBRM;2020123000;-0.4
NABBRM;2020123001;0.0
NABBRM;2020123002;0.1
NABBRM;2020123003;-0.3
NABBRM;2020123004;-1.1
NABBRM;2020123005;-0.7
NABBRM;2020123006;-0.6
NABBRM;2020123007;-0.5
NABBRM;2020123008;-0.6
NABBRM;2020123009;-0.7
NABBRM;2020123010;-0.4
NABBRM;2020123011;-0.2
NABBRM;2020123012;0.4
NABBRM;2020123013;0.6
NABBRM;2020123014;1.2
NABBRM;2020123015;0.7
NABBRM;2020123016;0.4
NABBRM;2020123017;0.1
NABBRM;2020123018;0.0
NABBRM;2020123019;-0.2
NABBRM;2020123020;-0.4
NABBRM;2020123021;-0.5
NABBRM;2020123022;-0.6
NABBRM;2020123023;-0.7
NABBRM;2020123100;-0.7
NABBRM;2020123101;-0.7
NABBRM;2020123102;-0.8
NABBRM;2020123103;-1.3
NABBRM;2020123104;-1.5
NABBRM;2020123105;-2.0
NABBRM;2020123106;-2.0
NABBRM;2020123107;-2.4
NABBRM;2020123108;-1.9
NABBRM;2020123109;-1.9
NABBRM;2020123110;-1.2
NABBRM;2020123111;-1.2
NABBRM;2020123112;-0.9
NABBRM;2020123113;-0.7
NABBRM;2020123114;-0.6
NABBRM;2020123115;-0.5
NABBRM;2020123116;-0.8
NABBRM;2020123117;-0.5
NABBRM;2020123118;-0.8
NABBRM;2020123119;-1.0
NABBRM;2020123120;-0.4
NABBRM;2020123121;-0.6
NABBRM;2020123122;-0.1
NABBRM;2020123123;-0.2
NABBRM;2021010100;-0.3
NABBRM;2021010101;-0.6
NABBRM;2021010102;-0.4
NABBRM;2021010103;-0.4
NABBRM;2021010104;-0.5
NABBRM;2021010105;-0.7
NABBRM;2021010106;-0.6
NABBRM;2021010107;-0.7
NABBRM;2021010108;-0.9
NABBRM;2021010109;-1.0
NABBRM;2021010110;-0.9
NABBRM;2021010111;-0.7
NABBRM;2021010112;-0.9
NABBRM;2021010113;-1.0
NABBRM;2021010114;-1.0
NABBRM;2021010115;-1.0
NABBRM;2021010116;-1.0
NABBRM;2021010117;-1.0
NABBRM;2021010118;-1.0
NABBRM;2021010119;-1.1
NABBRM;2021010120;-1.2
NABBRM;2021010121;-1.3
NABBRM;2021010122;-1.4
NABBRM;2021010123;-1.3
NABBRM;2021010200;-1.2
NABBRM;2021010201;-1.2
NABBRM;2021010202;-1.2
NABBRM;2021010203;-1.2
NABBRM;2021010204;-1.2
NABBRM;2021010205;-1.3
NABBRM;2021010206;-1.4
NABBRM;2021010207;-1.4
NABBRM;2021010208;-1.5
NABBRM;2021010209;-1.5
NABBRM;2021010210;-1.5
NABBRM;2021010211;-1.4
NABBRM;2021010212;-1.4
NABBRM;2021010213;-1.5
NABBRM;2021010214;-1.5
NABBRM;2021010215;-1.6
NABBRM;2021010216;-1.7
NABBRM;2021010217;-1.8
NABBRM;2021010218;-1.9
NABBRM;2021010219;-1.8
NABBRM;2021010220;-2.0
NABBRM;2021010221;-2.1
NABBRM;2021010222;-2.2
NABBRM;2021010223;-2.3
NABBRM;2021010300;-2.4
NABBRM;2021010301;-2.6
NABBRM;2021010302;-2.7
NABBRM;2021010303;-2.7
NABBRM;2021010304;-2.7
NABBRM;2021010305;-2.8
NABBRM;2021010306;-2.8
NABBRM;2021010307;-2.9
NABBRM;2021010308;-2.9
NABBRM;2021010309;-2.8
NABBRM;2021010310;-2.8
NABBRM;2021010311;-2.6
NABBRM;2021010312;-2.4
NABBRM;2021010313;-2.3
NABBRM;2021010314;-2.3
NABBRM;2021010315;-2.2
NABBRM;2021010316;-2.3
NABBRM;2021010317;-2.6
NABBRM;2021010318;-2.7
NABBRM;2021010319;-2.7
NABBRM;2021010320;-2.8
NABBRM;2021010321;-3.0
NABBRM;2021010322;-3.4
NABBRM;2021010323;-3.7
NABBRM;2021010400;-4.0
NABBRM;2021010401;-3.8
NABBRM;2021010402;-3.4
NABBRM;2021010403;-3.3
NABBRM;2021010404;-3.3
NABBRM;2021010405;-3.1
NABBRM;2021010406;-3.0
NABBRM;2021010407;-3.0
NABBRM;2021010408;-3.0
NABBRM;2021010409;-3.0
NABBRM;2021010410;-2.9
NABBRM;2021010411;-2.8
NABBRM;2021010412;-2.8
NABBRM;2021010413;-2.7
NABBRM;2021010414;-2.6
NABBRM;2021010415;-2.5
NABBRM;2021010416;-2.8
NABBRM;2021010417;-3.0
NABBRM;2021010418;-3.1
NABBRM;2021010419;-3.1
NABBRM;2021010420;-3.2
NABBRM;2021010421;-3.2
NABBRM;2021010422;-3.2
NABBRM;2021010423;-3.3
NABBRM;2021010500;-3.4
NABBRM;2021010501;-3.5
NABBRM;2021010502;-3.6
NABBRM;2021010503;-3.6
NABBRM;2021010504;-3.7
NABBRM;2021010505;-3.8
NABBRM;2021010506;-4.0
NABBRM;2021010507;-3.9
NABBRM;2021010508;-3.9
NABBRM;2021010509;-3.8
NABBRM;2021010510;-3.7
NABBRM;2021010511;-3.6
NABBRM;2021010512;-3.3
NABBRM;2021010513;-3.2
NABBRM;2021010514;-3.3
NABBRM;2021010515;-3.4
NABBRM;2021010516;-3.4
NABBRM;2021010517;-3.4
NABBRM;2021010518;-3.5
NABBRM;2021010519;-3.6
NABBRM;2021010520;-3.6
NABBRM;2021010521;-3.6
NABBRM;2021010522;-3.6
NABBRM;2021010523;-3.6
NABBRM;2021010600;-3.7
NABBRM;2021010601;-3.6
NABBRM;2021010602;-3.7
NABBRM;2021010603;-3.8
