 

stn;time;rre150h0
ZELUAW;2020123000;0.0
ZELUAW;2020123001;0.0
ZELUAW;2020123002;0.0
ZELUAW;2020123003;0.0
ZELUAW;2020123004;0.0
ZELUAW;2020123005;0.0
ZELUAW;2020123006;1.0
ZELUAW;2020123007;0.5
ZELUAW;2020123008;0.7
ZELUAW;2020123009;0.2
ZELUAW;2020123010;0.0
ZELUAW;2020123011;0.0
ZELUAW;2020123012;0.0
ZELUAW;2020123013;0.0
ZELUAW;2020123014;0.0
ZELUAW;2020123015;0.0
ZELUAW;2020123016;0.0
ZELUAW;2020123017;0.0
ZELUAW;2020123018;0.1
ZELUAW;2020123019;0.0
ZELUAW;2020123020;0.0
ZELUAW;2020123021;0.0
ZELUAW;2020123022;0.0
ZELUAW;2020123023;0.0
ZELUAW;2020123100;0.0
ZELUAW;2020123101;0.0
ZELUAW;2020123102;0.0
ZELUAW;2020123103;0.0
ZELUAW;2020123104;0.0
ZELUAW;2020123105;0.0
ZELUAW;2020123106;0.0
ZELUAW;2020123107;0.0
ZELUAW;2020123108;0.0
ZELUAW;2020123109;0.0
ZELUAW;2020123110;-
ZELUAW;2020123111;-
ZELUAW;2020123112;-
ZELUAW;2020123113;0.0
ZELUAW;2020123114;0.0
ZELUAW;2020123115;0.0
ZELUAW;2020123116;0.0
ZELUAW;2020123117;0.0
ZELUAW;2020123118;0.5
ZELUAW;2020123119;0.0
ZELUAW;2020123120;0.0
ZELUAW;2020123121;0.0
ZELUAW;2020123122;0.0
ZELUAW;2020123123;0.1
ZELUAW;2021010100;0.7
ZELUAW;2021010101;0.9
ZELUAW;2021010102;0.6
ZELUAW;2021010103;0.5
ZELUAW;2021010104;0.7
ZELUAW;2021010105;0.5
ZELUAW;2021010106;0.5
ZELUAW;2021010107;1.0
ZELUAW;2021010108;0.3
ZELUAW;2021010109;0.1
ZELUAW;2021010110;0.0
ZELUAW;2021010111;0.0
ZELUAW;2021010112;0.0
ZELUAW;2021010113;0.0
ZELUAW;2021010114;0.0
ZELUAW;2021010115;0.0
ZELUAW;2021010116;0.0
ZELUAW;2021010117;0.0
ZELUAW;2021010118;0.0
ZELUAW;2021010119;0.0
ZELUAW;2021010120;0.0
ZELUAW;2021010121;0.0
ZELUAW;2021010122;0.0
ZELUAW;2021010123;0.0
ZELUAW;2021010200;0.0
ZELUAW;2021010201;0.0
ZELUAW;2021010202;0.0
ZELUAW;2021010203;0.0
ZELUAW;2021010204;0.0
ZELUAW;2021010205;0.0
ZELUAW;2021010206;0.0
ZELUAW;2021010207;0.0
ZELUAW;2021010208;0.0
ZELUAW;2021010209;0.0
ZELUAW;2021010210;0.0
ZELUAW;2021010211;0.0
ZELUAW;2021010212;0.0
ZELUAW;2021010213;0.0
ZELUAW;2021010214;0.0
ZELUAW;2021010215;0.0
ZELUAW;2021010216;0.0
ZELUAW;2021010217;0.0
ZELUAW;2021010218;0.0
ZELUAW;2021010219;0.0
ZELUAW;2021010220;0.0
