 

stn;time;rre150h0
ZELUGI;2021112518;-
ZELUGI;2021112519;0.0
ZELUGI;2021112520;0.0
ZELUGI;2021112521;0.0
ZELUGI;2021112522;0.0
ZELUGI;2021112523;0.0
ZELUGI;2021112600;0.0
ZELUGI;2021112601;0.0
ZELUGI;2021112602;0.0
ZELUGI;2021112603;0.3
ZELUGI;2021112604;0.3
ZELUGI;2021112605;0.2
ZELUGI;2021112606;0.5
ZELUGI;2021112607;0.5
ZELUGI;2021112608;0.2
ZELUGI;2021112609;0.2
ZELUGI;2021112610;0.8
ZELUGI;2021112611;0.1
ZELUGI;2021112612;0.0
ZELUGI;2021112613;0.0
ZELUGI;2021112614;0.0
ZELUGI;2021112615;0.0
ZELUGI;2021112616;0.0
ZELUGI;2021112617;0.0
ZELUGI;2021112618;0.0
ZELUGI;2021112619;0.0
ZELUGI;2021112620;0.0
ZELUGI;2021112621;0.0
ZELUGI;2021112622;0.0
ZELUGI;2021112623;0.0
ZELUGI;2021112700;0.0
ZELUGI;2021112701;0.0
ZELUGI;2021112702;0.0
ZELUGI;2021112703;0.0
ZELUGI;2021112704;0.0
ZELUGI;2021112705;0.4
ZELUGI;2021112706;0.1
ZELUGI;2021112707;0.0
ZELUGI;2021112708;0.0
ZELUGI;2021112709;0.0
ZELUGI;2021112710;0.9
ZELUGI;2021112711;0.0
ZELUGI;2021112712;0.0
ZELUGI;2021112713;0.1
ZELUGI;2021112714;0.0
ZELUGI;2021112715;0.0
ZELUGI;2021112716;0.0
ZELUGI;2021112717;0.0
ZELUGI;2021112718;0.0
ZELUGI;2021112719;0.0
ZELUGI;2021112720;0.0
ZELUGI;2021112721;0.0
ZELUGI;2021112722;0.1
ZELUGI;2021112723;0.0
ZELUGI;2021112800;0.0
ZELUGI;2021112801;0.0
ZELUGI;2021112802;0.0
ZELUGI;2021112803;0.0
ZELUGI;2021112804;0.0
ZELUGI;2021112805;0.2
ZELUGI;2021112806;0.0
ZELUGI;2021112807;0.0
ZELUGI;2021112808;0.0
ZELUGI;2021112809;0.0
ZELUGI;2021112810;0.0
ZELUGI;2021112811;0.0
ZELUGI;2021112812;0.0
ZELUGI;2021112813;0.0
ZELUGI;2021112814;0.0
ZELUGI;2021112815;0.4
ZELUGI;2021112816;0.2
ZELUGI;2021112817;0.6
ZELUGI;2021112818;0.0
ZELUGI;2021112819;0.0
ZELUGI;2021112820;0.5
ZELUGI;2021112821;0.1
ZELUGI;2021112822;0.3
ZELUGI;2021112823;0.1
ZELUGI;2021112900;0.5
ZELUGI;2021112901;0.6
ZELUGI;2021112902;0.8
ZELUGI;2021112903;1.4
ZELUGI;2021112904;1.1
ZELUGI;2021112905;0.6
ZELUGI;2021112906;0.1
ZELUGI;2021112907;0.0
ZELUGI;2021112908;0.0
ZELUGI;2021112909;0.1
ZELUGI;2021112910;1.9
ZELUGI;2021112911;0.5
ZELUGI;2021112912;0.0
ZELUGI;2021112913;0.0
ZELUGI;2021112914;0.0
ZELUGI;2021112915;0.0
ZELUGI;2021112916;0.0
ZELUGI;2021112917;0.1
ZELUGI;2021112918;0.0
ZELUGI;2021112919;0.0
ZELUGI;2021112920;0.0
ZELUGI;2021112921;0.0
ZELUGI;2021112922;0.0
ZELUGI;2021112923;0.0
ZELUGI;2021113000;0.0
ZELUGI;2021113001;0.0
ZELUGI;2021113002;0.0
ZELUGI;2021113003;0.0
ZELUGI;2021113004;0.0
ZELUGI;2021113005;0.0
ZELUGI;2021113006;0.0
ZELUGI;2021113007;0.0
ZELUGI;2021113008;0.0
ZELUGI;2021113009;0.0
ZELUGI;2021113010;0.0
ZELUGI;2021113011;0.0
ZELUGI;2021113012;0.0
ZELUGI;2021113013;0.0
ZELUGI;2021113014;0.0
ZELUGI;2021113015;0.0
ZELUGI;2021113016;0.1
ZELUGI;2021113017;0.2
ZELUGI;2021113018;0.3
ZELUGI;2021113019;0.1
ZELUGI;2021113020;0.2
ZELUGI;2021113021;0.0
ZELUGI;2021113022;0.0
ZELUGI;2021113023;0.0
ZELUGI;2021120100;0.0
ZELUGI;2021120101;0.0
ZELUGI;2021120102;0.0
ZELUGI;2021120103;0.0
ZELUGI;2021120104;0.0
ZELUGI;2021120105;0.0
ZELUGI;2021120106;0.0
ZELUGI;2021120107;0.0
ZELUGI;2021120108;0.0
ZELUGI;2021120109;0.0
ZELUGI;2021120110;0.0
ZELUGI;2021120111;0.0
ZELUGI;2021120112;0.0
ZELUGI;2021120113;0.0
ZELUGI;2021120114;0.0
ZELUGI;2021120115;0.0
ZELUGI;2021120116;0.1
ZELUGI;2021120117;0.4
ZELUGI;2021120118;0.3
ZELUGI;2021120119;0.0
ZELUGI;2021120120;0.0
ZELUGI;2021120121;0.0
ZELUGI;2021120122;0.0
ZELUGI;2021120123;0.0
ZELUGI;2021120200;0.0
ZELUGI;2021120201;0.0
ZELUGI;2021120202;0.1
ZELUGI;2021120203;0.0
ZELUGI;2021120204;0.0
ZELUGI;2021120205;0.0
ZELUGI;2021120206;0.0
ZELUGI;2021120207;0.0
ZELUGI;2021120208;0.1
ZELUGI;2021120209;0.0
ZELUGI;2021120210;0.0
ZELUGI;2021120211;0.8
ZELUGI;2021120212;0.1
ZELUGI;2021120213;0.0
ZELUGI;2021120214;1.0
ZELUGI;2021120215;0.3
ZELUGI;2021120216;0.0
ZELUGI;2021120217;1.3
ZELUGI;2021120218;3.1
ZELUGI;2021120219;0.8
ZELUGI;2021120220;0.0
ZELUGI;2021120221;0.0
ZELUGI;2021120222;0.3
ZELUGI;2021120223;0.0
ZELUGI;2021120300;0.0
ZELUGI;2021120301;0.0
ZELUGI;2021120302;0.0
ZELUGI;2021120303;0.0
ZELUGI;2021120304;0.0
ZELUGI;2021120305;0.0
ZELUGI;2021120306;0.0
ZELUGI;2021120307;0.0
ZELUGI;2021120308;0.0
ZELUGI;2021120309;0.1
ZELUGI;2021120310;0.2
ZELUGI;2021120311;0.0
ZELUGI;2021120312;0.0
ZELUGI;2021120313;0.1
ZELUGI;2021120314;0.0
