 

stn;time;rre150h0
ZELUTB;2021110816;-
ZELUTB;2021110817;0.0
ZELUTB;2021110818;0.0
ZELUTB;2021110819;0.0
ZELUTB;2021110820;0.0
ZELUTB;2021110821;0.0
ZELUTB;2021110822;0.0
ZELUTB;2021110823;0.0
ZELUTB;2021110900;0.0
ZELUTB;2021110901;0.0
ZELUTB;2021110902;0.0
ZELUTB;2021110903;0.0
ZELUTB;2021110904;0.0
ZELUTB;2021110905;0.0
ZELUTB;2021110906;0.0
ZELUTB;2021110907;0.0
ZELUTB;2021110908;0.0
ZELUTB;2021110909;0.0
ZELUTB;2021110910;0.0
ZELUTB;2021110911;0.0
ZELUTB;2021110912;0.0
ZELUTB;2021110913;0.0
ZELUTB;2021110914;0.0
ZELUTB;2021110915;0.0
ZELUTB;2021110916;0.0
ZELUTB;2021110917;0.0
ZELUTB;2021110918;0.0
ZELUTB;2021110919;0.0
ZELUTB;2021110920;0.0
ZELUTB;2021110921;0.0
ZELUTB;2021110922;0.0
ZELUTB;2021110923;0.0
ZELUTB;2021111000;0.0
ZELUTB;2021111001;0.0
ZELUTB;2021111002;0.0
ZELUTB;2021111003;0.0
ZELUTB;2021111004;0.0
ZELUTB;2021111005;0.0
ZELUTB;2021111006;0.0
ZELUTB;2021111007;0.0
ZELUTB;2021111008;0.0
ZELUTB;2021111009;0.0
ZELUTB;2021111010;0.0
ZELUTB;2021111011;0.0
ZELUTB;2021111012;0.0
ZELUTB;2021111013;0.0
ZELUTB;2021111014;0.0
ZELUTB;2021111015;0.0
ZELUTB;2021111016;0.0
ZELUTB;2021111017;0.0
ZELUTB;2021111018;0.0
ZELUTB;2021111019;0.0
ZELUTB;2021111020;0.0
ZELUTB;2021111021;0.0
ZELUTB;2021111022;0.0
ZELUTB;2021111023;0.0
ZELUTB;2021111100;0.0
ZELUTB;2021111101;0.0
ZELUTB;2021111102;0.0
ZELUTB;2021111103;0.0
ZELUTB;2021111104;0.0
ZELUTB;2021111105;0.0
ZELUTB;2021111106;0.0
ZELUTB;2021111107;0.0
ZELUTB;2021111108;0.0
ZELUTB;2021111109;0.0
ZELUTB;2021111110;0.1
ZELUTB;2021111111;0.0
ZELUTB;2021111112;0.0
ZELUTB;2021111113;0.0
ZELUTB;2021111114;0.0
ZELUTB;2021111115;0.0
ZELUTB;2021111116;0.0
ZELUTB;2021111117;0.0
ZELUTB;2021111118;0.0
ZELUTB;2021111119;0.0
ZELUTB;2021111120;0.0
ZELUTB;2021111121;0.0
ZELUTB;2021111122;0.0
ZELUTB;2021111123;0.0
ZELUTB;2021111200;0.0
ZELUTB;2021111201;0.0
ZELUTB;2021111202;0.0
ZELUTB;2021111203;0.0
ZELUTB;2021111204;0.0
ZELUTB;2021111205;0.0
ZELUTB;2021111206;0.0
ZELUTB;2021111207;0.0
ZELUTB;2021111208;0.0
ZELUTB;2021111209;0.0
ZELUTB;2021111210;0.0
ZELUTB;2021111211;0.0
ZELUTB;2021111212;0.0
ZELUTB;2021111213;0.0
ZELUTB;2021111214;0.0
ZELUTB;2021111215;0.0
ZELUTB;2021111216;0.0
ZELUTB;2021111217;0.0
ZELUTB;2021111218;0.0
ZELUTB;2021111219;0.0
ZELUTB;2021111220;0.0
ZELUTB;2021111221;0.0
ZELUTB;2021111222;0.0
ZELUTB;2021111223;0.0
ZELUTB;2021111300;0.0
ZELUTB;2021111301;0.0
ZELUTB;2021111302;0.0
ZELUTB;2021111303;0.0
ZELUTB;2021111304;0.0
ZELUTB;2021111305;0.0
ZELUTB;2021111306;0.0
ZELUTB;2021111307;0.0
ZELUTB;2021111308;0.0
ZELUTB;2021111309;0.0
ZELUTB;2021111310;0.0
ZELUTB;2021111311;0.0
ZELUTB;2021111312;0.0
ZELUTB;2021111313;0.0
ZELUTB;2021111314;0.0
ZELUTB;2021111315;0.0
ZELUTB;2021111316;0.1
ZELUTB;2021111317;0.7
ZELUTB;2021111318;0.1
ZELUTB;2021111319;0.2
ZELUTB;2021111320;0.3
ZELUTB;2021111321;0.0
ZELUTB;2021111322;0.0
ZELUTB;2021111323;0.0
ZELUTB;2021111400;0.0
ZELUTB;2021111401;0.1
ZELUTB;2021111402;0.1
ZELUTB;2021111403;0.0
ZELUTB;2021111404;0.2
ZELUTB;2021111405;0.2
ZELUTB;2021111406;0.2
ZELUTB;2021111407;0.0
ZELUTB;2021111408;0.1
ZELUTB;2021111409;0.3
ZELUTB;2021111410;0.1
ZELUTB;2021111411;0.1
ZELUTB;2021111412;0.1
ZELUTB;2021111413;0.1
ZELUTB;2021111414;0.3
ZELUTB;2021111415;0.0
ZELUTB;2021111416;0.0
ZELUTB;2021111417;0.0
ZELUTB;2021111418;0.0
ZELUTB;2021111419;0.0
ZELUTB;2021111420;0.0
ZELUTB;2021111421;0.0
ZELUTB;2021111422;0.0
ZELUTB;2021111423;0.0
ZELUTB;2021111500;0.0
ZELUTB;2021111501;0.0
ZELUTB;2021111502;0.0
ZELUTB;2021111503;0.0
ZELUTB;2021111504;0.0
ZELUTB;2021111505;0.0
ZELUTB;2021111506;0.0
ZELUTB;2021111507;0.0
ZELUTB;2021111508;0.0
ZELUTB;2021111509;0.0
ZELUTB;2021111510;-
ZELUTB;2021111511;0.0
ZELUTB;2021111512;0.0
ZELUTB;2021111513;0.0
ZELUTB;2021111514;0.0
ZELUTB;2021111515;0.0
ZELUTB;2021111516;0.0
ZELUTB;2021111517;0.0
ZELUTB;2021111518;0.0
ZELUTB;2021111519;0.0
ZELUTB;2021111520;0.0
ZELUTB;2021111521;0.0
ZELUTB;2021111522;0.0
ZELUTB;2021111523;0.0
ZELUTB;2021111600;0.0
ZELUTB;2021111601;0.0
ZELUTB;2021111602;0.0
ZELUTB;2021111603;0.0
ZELUTB;2021111604;0.0
ZELUTB;2021111605;0.0
ZELUTB;2021111606;0.0
ZELUTB;2021111607;0.0
ZELUTB;2021111608;0.0
ZELUTB;2021111609;0.0
ZELUTB;2021111610;0.0
ZELUTB;2021111611;0.0
ZELUTB;2021111612;0.0
ZELUTB;2021111613;0.0
ZELUTB;2021111614;0.0
ZELUTB;2021111615;0.0
ZELUTB;2021111616;0.0
ZELUTB;2021111617;0.0
ZELUTB;2021111618;0.0
ZELUTB;2021111619;0.0
ZELUTB;2021111620;0.0
ZELUTB;2021111621;0.0
ZELUTB;2021111622;0.0
ZELUTB;2021111623;0.0
ZELUTB;2021111700;0.0
ZELUTB;2021111701;0.0
ZELUTB;2021111702;0.0
ZELUTB;2021111703;0.0
ZELUTB;2021111704;0.0
ZELUTB;2021111705;0.0
ZELUTB;2021111706;0.0
ZELUTB;2021111707;0.0
ZELUTB;2021111708;0.0
ZELUTB;2021111709;0.0
ZELUTB;2021111710;0.0
ZELUTB;2021111711;0.0
ZELUTB;2021111712;0.0
ZELUTB;2021111713;0.0
ZELUTB;2021111714;0.0
ZELUTB;2021111715;0.0
ZELUTB;2021111716;0.0
ZELUTB;2021111717;0.0
ZELUTB;2021111718;0.0
ZELUTB;2021111719;0.0
ZELUTB;2021111720;0.0
ZELUTB;2021111721;0.0
ZELUTB;2021111722;0.0
ZELUTB;2021111723;0.0
ZELUTB;2021111800;0.0
ZELUTB;2021111801;0.0
ZELUTB;2021111802;0.0
