 

stn;time;rre150h0
ZELUWE;2022100607;-
ZELUWE;2022100608;-
ZELUWE;2022100609;0.0
ZELUWE;2022100610;0.0
ZELUWE;2022100611;-
ZELUWE;2022100612;0.0
ZELUWE;2022100613;0.0
ZELUWE;2022100614;0.0
ZELUWE;2022100615;0.0
ZELUWE;2022100616;0.0
ZELUWE;2022100617;0.0
ZELUWE;2022100618;0.0
ZELUWE;2022100619;0.0
ZELUWE;2022100620;0.0
ZELUWE;2022100621;0.0
ZELUWE;2022100622;0.0
ZELUWE;2022100623;0.0
ZELUWE;2022100700;0.0
ZELUWE;2022100701;0.0
ZELUWE;2022100702;0.0
ZELUWE;2022100703;0.0
ZELUWE;2022100704;0.0
ZELUWE;2022100705;0.0
ZELUWE;2022100706;0.0
ZELUWE;2022100707;0.0
ZELUWE;2022100708;0.0
ZELUWE;2022100709;0.0
ZELUWE;2022100710;0.0
ZELUWE;2022100711;0.0
ZELUWE;2022100712;0.0
ZELUWE;2022100713;0.0
ZELUWE;2022100714;0.0
ZELUWE;2022100715;0.0
ZELUWE;2022100716;0.0
ZELUWE;2022100717;0.0
ZELUWE;2022100718;0.0
ZELUWE;2022100719;0.0
ZELUWE;2022100720;0.0
ZELUWE;2022100721;0.0
ZELUWE;2022100722;0.0
ZELUWE;2022100723;0.0
ZELUWE;2022100800;0.0
ZELUWE;2022100801;0.0
ZELUWE;2022100802;0.0
ZELUWE;2022100803;0.0
ZELUWE;2022100804;0.0
ZELUWE;2022100805;0.0
ZELUWE;2022100806;0.0
ZELUWE;2022100807;0.0
ZELUWE;2022100808;0.0
ZELUWE;2022100809;0.0
ZELUWE;2022100810;0.0
ZELUWE;2022100811;0.3
ZELUWE;2022100812;2.1
ZELUWE;2022100813;1.1
ZELUWE;2022100814;0.2
ZELUWE;2022100815;0.0
ZELUWE;2022100816;0.6
ZELUWE;2022100817;0.7
ZELUWE;2022100818;0.1
ZELUWE;2022100819;0.0
ZELUWE;2022100820;0.0
ZELUWE;2022100821;0.0
ZELUWE;2022100822;0.0
ZELUWE;2022100823;0.0
ZELUWE;2022100900;0.0
ZELUWE;2022100901;0.0
ZELUWE;2022100902;0.0
ZELUWE;2022100903;0.0
ZELUWE;2022100904;0.0
ZELUWE;2022100905;0.0
ZELUWE;2022100906;0.0
ZELUWE;2022100907;0.0
ZELUWE;2022100908;0.0
ZELUWE;2022100909;0.0
ZELUWE;2022100910;0.0
ZELUWE;2022100911;0.0
ZELUWE;2022100912;0.0
ZELUWE;2022100913;0.0
ZELUWE;2022100914;0.0
ZELUWE;2022100915;0.0
ZELUWE;2022100916;0.0
ZELUWE;2022100917;0.0
ZELUWE;2022100918;0.0
ZELUWE;2022100919;0.0
ZELUWE;2022100920;0.0
ZELUWE;2022100921;0.0
ZELUWE;2022100922;0.0
ZELUWE;2022100923;0.0
ZELUWE;2022101000;0.0
ZELUWE;2022101001;0.0
ZELUWE;2022101002;0.0
ZELUWE;2022101003;0.0
ZELUWE;2022101004;0.0
ZELUWE;2022101005;0.0
ZELUWE;2022101006;0.0
ZELUWE;2022101007;0.0
ZELUWE;2022101008;0.0
ZELUWE;2022101009;0.0
ZELUWE;2022101010;0.0
ZELUWE;2022101011;0.0
ZELUWE;2022101012;0.0
ZELUWE;2022101013;0.0
ZELUWE;2022101014;0.0
ZELUWE;2022101015;0.0
ZELUWE;2022101016;0.0
ZELUWE;2022101017;0.0
ZELUWE;2022101018;0.0
ZELUWE;2022101019;0.0
ZELUWE;2022101020;0.0
ZELUWE;2022101021;0.0
ZELUWE;2022101022;0.0
ZELUWE;2022101023;3.6
ZELUWE;2022101100;0.0
ZELUWE;2022101101;0.0
ZELUWE;2022101102;0.0
ZELUWE;2022101103;0.0
ZELUWE;2022101104;0.0
ZELUWE;2022101105;0.0
ZELUWE;2022101106;0.0
ZELUWE;2022101107;0.0
ZELUWE;2022101108;0.0
ZELUWE;2022101109;0.0
ZELUWE;2022101110;0.0
ZELUWE;2022101111;0.0
ZELUWE;2022101112;0.0
ZELUWE;2022101113;0.0
ZELUWE;2022101114;0.0
ZELUWE;2022101115;0.0
ZELUWE;2022101116;0.0
ZELUWE;2022101117;0.0
ZELUWE;2022101118;0.0
ZELUWE;2022101119;0.0
ZELUWE;2022101120;0.0
ZELUWE;2022101121;0.0
ZELUWE;2022101122;0.0
ZELUWE;2022101123;0.0
ZELUWE;2022101200;0.0
ZELUWE;2022101201;0.0
ZELUWE;2022101202;0.0
ZELUWE;2022101203;0.0
ZELUWE;2022101204;0.0
ZELUWE;2022101205;0.0
ZELUWE;2022101206;0.0
ZELUWE;2022101207;0.0
ZELUWE;2022101208;0.0
ZELUWE;2022101209;0.0
ZELUWE;2022101210;0.0
