 

stn;time;tre200h0
EGO;2022123100;9.0
EGO;2022123101;9.1
EGO;2022123102;8.8
EGO;2022123103;8.8
EGO;2022123104;9.7
EGO;2022123105;9.5
EGO;2022123106;9.0
EGO;2022123107;7.3
EGO;2022123108;6.7
EGO;2022123109;6.6
EGO;2022123110;8.5
EGO;2022123111;10.3
EGO;2022123112;11.7
EGO;2022123113;12.4
EGO;2022123114;12.5
EGO;2022123115;12.2
EGO;2022123116;11.7
EGO;2022123117;9.9
EGO;2022123118;9.1
EGO;2022123119;8.5
EGO;2022123120;8.1
EGO;2022123121;6.6
EGO;2022123122;6.0
EGO;2022123123;7.3
EGO;2023010100;6.8
EGO;2023010101;7.2
EGO;2023010102;7.0
EGO;2023010103;7.7
EGO;2023010104;7.3
EGO;2023010105;6.4
EGO;2023010106;7.0
EGO;2023010107;5.4
EGO;2023010108;6.9
EGO;2023010109;6.4
EGO;2023010110;8.7
EGO;2023010111;10.3
EGO;2023010112;12.7
EGO;2023010113;13.9
EGO;2023010114;13.9
EGO;2023010115;13.7
EGO;2023010116;12.0
EGO;2023010117;9.5
EGO;2023010118;8.3
EGO;2023010119;7.9
EGO;2023010120;7.2
EGO;2023010121;6.9
EGO;2023010122;6.1
EGO;2023010123;6.2
EGO;2023010200;5.8
EGO;2023010201;5.4
EGO;2023010202;5.5
EGO;2023010203;5.0
EGO;2023010204;5.4
EGO;2023010205;5.8
EGO;2023010206;4.8
EGO;2023010207;5.3
EGO;2023010208;5.5
EGO;2023010209;5.3
EGO;2023010210;6.0
EGO;2023010211;7.7
EGO;2023010212;8.0
EGO;2023010213;10.3
EGO;2023010214;13.3
EGO;2023010215;13.2
EGO;2023010216;12.0
EGO;2023010217;11.5
EGO;2023010218;10.6
EGO;2023010219;9.9
EGO;2023010220;9.6
EGO;2023010221;8.7
EGO;2023010222;8.4
EGO;2023010223;7.9
EGO;2023010300;8.1
EGO;2023010301;7.3
EGO;2023010302;7.1
EGO;2023010303;6.9
EGO;2023010304;6.4
EGO;2023010305;6.2
EGO;2023010306;6.4
EGO;2023010307;6.5
EGO;2023010308;6.4
EGO;2023010309;6.4
EGO;2023010310;6.5
EGO;2023010311;6.7
EGO;2023010312;6.8
EGO;2023010313;7.1
EGO;2023010314;7.2
EGO;2023010315;7.1
EGO;2023010316;6.6
EGO;2023010317;6.6
EGO;2023010318;6.4
EGO;2023010319;6.0
EGO;2023010320;5.2
EGO;2023010321;4.8
EGO;2023010322;5.0
EGO;2023010323;4.7
EGO;2023010400;4.7
EGO;2023010401;4.7
EGO;2023010402;4.5
EGO;2023010403;4.6
EGO;2023010404;4.4
EGO;2023010405;3.6
EGO;2023010406;3.3
EGO;2023010407;2.8
EGO;2023010408;2.7
EGO;2023010409;3.1
EGO;2023010410;5.4
EGO;2023010411;6.9
EGO;2023010412;7.8
EGO;2023010413;8.2
EGO;2023010414;8.5
EGO;2023010415;8.4
EGO;2023010416;8.1
EGO;2023010417;8.3
EGO;2023010418;8.6
EGO;2023010419;8.4
EGO;2023010420;8.9
EGO;2023010421;9.0
EGO;2023010422;8.8
EGO;2023010423;8.7
EGO;2023010500;8.0
EGO;2023010501;8.7
EGO;2023010502;8.9
EGO;2023010503;8.9
EGO;2023010504;8.3
EGO;2023010505;8.5
EGO;2023010506;8.9
EGO;2023010507;8.5
EGO;2023010508;8.2
EGO;2023010509;8.1
EGO;2023010510;8.7
EGO;2023010511;9.7
EGO;2023010512;10.1
EGO;2023010513;10.5
EGO;2023010514;10.8
EGO;2023010515;10.6
EGO;2023010516;10.5
EGO;2023010517;9.9
EGO;2023010518;9.2
EGO;2023010519;8.6
EGO;2023010520;7.1
EGO;2023010521;6.2
EGO;2023010522;4.6
EGO;2023010523;3.7
EGO;2023010600;3.3
EGO;2023010601;2.4
EGO;2023010602;1.6
EGO;2023010603;1.1
EGO;2023010604;2.2
EGO;2023010605;2.4
EGO;2023010606;2.9
EGO;2023010607;3.1
EGO;2023010608;3.5
EGO;2023010609;4.0
EGO;2023010610;5.0
EGO;2023010611;5.8
EGO;2023010612;6.2
EGO;2023010613;7.1
EGO;2023010614;7.5
EGO;2023010615;7.8
EGO;2023010616;7.1
EGO;2023010617;6.6
EGO;2023010618;6.5
EGO;2023010619;6.5
EGO;2023010620;6.6
EGO;2023010621;6.4
EGO;2023010622;6.3
EGO;2023010623;5.9
EGO;2023010700;5.7
EGO;2023010701;5.6
EGO;2023010702;5.6
EGO;2023010703;5.5
EGO;2023010704;5.4
EGO;2023010705;5.2
EGO;2023010706;5.0
EGO;2023010707;4.8
EGO;2023010708;4.8
EGO;2023010709;5.4
EGO;2023010710;6.3
EGO;2023010711;7.4
EGO;2023010712;8.6
EGO;2023010713;9.2
EGO;2023010714;9.2
EGO;2023010715;8.6
EGO;2023010716;6.2
EGO;2023010717;5.2
EGO;2023010718;5.0
EGO;2023010719;4.1
EGO;2023010720;2.6
EGO;2023010721;2.4
EGO;2023010722;2.5
EGO;2023010723;2.2
EGO;2023010800;1.6
EGO;2023010801;2.2
EGO;2023010802;2.1
EGO;2023010803;1.3
EGO;2023010804;1.2
EGO;2023010805;1.1
EGO;2023010806;2.8
EGO;2023010807;3.0
EGO;2023010808;4.3
EGO;2023010809;4.5
EGO;2023010810;4.8
