 

stn;time;tre200h0
FLU;2022123100;11.9
FLU;2022123101;12.5
FLU;2022123102;12.1
FLU;2022123103;10.5
FLU;2022123104;12.1
FLU;2022123105;11.8
FLU;2022123106;14.1
FLU;2022123107;14.4
FLU;2022123108;12.7
FLU;2022123109;11.6
FLU;2022123110;13.2
FLU;2022123111;14.9
FLU;2022123112;11.6
FLU;2022123113;11.7
FLU;2022123114;11.5
FLU;2022123115;11.4
FLU;2022123116;10.2
FLU;2022123117;9.3
FLU;2022123118;8.2
FLU;2022123119;8.1
FLU;2022123120;8.2
FLU;2022123121;7.7
FLU;2022123122;7.1
FLU;2022123123;6.9
FLU;2023010100;6.8
FLU;2023010101;6.5
FLU;2023010102;6.5
FLU;2023010103;6.3
FLU;2023010104;5.3
FLU;2023010105;6.1
FLU;2023010106;5.1
FLU;2023010107;5.6
FLU;2023010108;5.0
FLU;2023010109;5.9
FLU;2023010110;6.6
FLU;2023010111;9.8
FLU;2023010112;11.9
FLU;2023010113;12.7
FLU;2023010114;12.2
FLU;2023010115;11.0
FLU;2023010116;8.6
FLU;2023010117;7.9
FLU;2023010118;7.2
FLU;2023010119;7.3
FLU;2023010120;6.9
FLU;2023010121;6.9
FLU;2023010122;6.8
FLU;2023010123;8.0
FLU;2023010200;8.4
FLU;2023010201;6.0
FLU;2023010202;6.0
FLU;2023010203;6.0
FLU;2023010204;5.7
FLU;2023010205;5.6
FLU;2023010206;5.6
FLU;2023010207;5.4
FLU;2023010208;5.4
FLU;2023010209;5.8
FLU;2023010210;7.5
FLU;2023010211;9.2
FLU;2023010212;9.9
FLU;2023010213;10.5
FLU;2023010214;10.9
FLU;2023010215;11.2
FLU;2023010216;10.8
FLU;2023010217;10.2
FLU;2023010218;8.5
FLU;2023010219;7.5
FLU;2023010220;6.7
FLU;2023010221;6.9
FLU;2023010222;7.4
FLU;2023010223;6.9
FLU;2023010300;6.1
FLU;2023010301;5.8
FLU;2023010302;5.4
FLU;2023010303;5.2
FLU;2023010304;5.1
FLU;2023010305;5.0
FLU;2023010306;4.9
FLU;2023010307;4.8
FLU;2023010308;4.7
FLU;2023010309;4.7
FLU;2023010310;4.8
FLU;2023010311;4.9
FLU;2023010312;5.2
FLU;2023010313;5.3
FLU;2023010314;5.1
FLU;2023010315;5.0
FLU;2023010316;4.7
FLU;2023010317;4.7
FLU;2023010318;4.3
FLU;2023010319;4.2
FLU;2023010320;3.9
FLU;2023010321;3.0
FLU;2023010322;1.7
FLU;2023010323;1.1
FLU;2023010400;1.1
FLU;2023010401;0.8
FLU;2023010402;1.1
FLU;2023010403;2.1
FLU;2023010404;2.3
FLU;2023010405;1.5
FLU;2023010406;0.9
FLU;2023010407;1.6
FLU;2023010408;2.4
FLU;2023010409;3.2
FLU;2023010410;4.8
FLU;2023010411;6.7
FLU;2023010412;8.1
FLU;2023010413;8.7
FLU;2023010414;8.8
FLU;2023010415;8.0
FLU;2023010416;8.9
FLU;2023010417;8.9
FLU;2023010418;8.9
FLU;2023010419;8.9
FLU;2023010420;9.0
FLU;2023010421;8.8
FLU;2023010422;7.5
FLU;2023010423;8.7
FLU;2023010500;9.5
FLU;2023010501;7.4
FLU;2023010502;8.0
FLU;2023010503;8.2
FLU;2023010504;8.2
FLU;2023010505;8.1
FLU;2023010506;7.1
FLU;2023010507;7.3
FLU;2023010508;7.3
FLU;2023010509;7.6
FLU;2023010510;7.8
FLU;2023010511;8.7
FLU;2023010512;8.9
FLU;2023010513;9.2
FLU;2023010514;9.1
FLU;2023010515;9.3
FLU;2023010516;9.1
FLU;2023010517;7.6
FLU;2023010518;6.1
FLU;2023010519;5.3
FLU;2023010520;4.4
FLU;2023010521;4.0
FLU;2023010522;3.2
FLU;2023010523;3.1
FLU;2023010600;3.0
FLU;2023010601;3.0
FLU;2023010602;2.7
FLU;2023010603;2.6
FLU;2023010604;2.3
FLU;2023010605;2.0
FLU;2023010606;1.3
FLU;2023010607;0.8
FLU;2023010608;0.9
FLU;2023010609;1.1
FLU;2023010610;1.9
FLU;2023010611;4.4
FLU;2023010612;5.2
FLU;2023010613;5.7
FLU;2023010614;5.8
FLU;2023010615;4.9
FLU;2023010616;3.8
FLU;2023010617;3.4
FLU;2023010618;3.0
FLU;2023010619;2.7
FLU;2023010620;2.3
FLU;2023010621;2.2
FLU;2023010622;2.2
FLU;2023010623;1.7
FLU;2023010700;1.3
FLU;2023010701;0.9
FLU;2023010702;0.6
FLU;2023010703;0.2
FLU;2023010704;-0.1
FLU;2023010705;-0.1
FLU;2023010706;-0.1
FLU;2023010707;-0.2
FLU;2023010708;-0.6
FLU;2023010709;-0.9
FLU;2023010710;-0.8
FLU;2023010711;0.7
FLU;2023010712;3.4
FLU;2023010713;5.4
FLU;2023010714;5.7
FLU;2023010715;4.9
FLU;2023010716;3.3
FLU;2023010717;2.2
FLU;2023010718;1.8
FLU;2023010719;2.1
FLU;2023010720;2.1
FLU;2023010721;2.3
FLU;2023010722;1.3
FLU;2023010723;1.2
FLU;2023010800;0.4
FLU;2023010801;0.9
FLU;2023010802;0.2
FLU;2023010803;1.8
FLU;2023010804;3.0
FLU;2023010805;2.7
FLU;2023010806;3.4
FLU;2023010807;3.4
FLU;2023010808;3.8
FLU;2023010809;3.6
FLU;2023010810;3.9
FLU;2023010811;4.7
FLU;2023010812;5.9
FLU;2023010813;5.0
FLU;2023010814;4.4
FLU;2023010815;4.2
FLU;2023010816;4.1
FLU;2023010817;4.4
FLU;2023010818;4.4
FLU;2023010819;4.4
FLU;2023010820;4.5
FLU;2023010821;4.3
FLU;2023010822;4.2
FLU;2023010823;4.1
FLU;2023010900;4.2
FLU;2023010901;4.2
FLU;2023010902;4.3
FLU;2023010903;3.0
FLU;2023010904;2.2
FLU;2023010905;2.7
FLU;2023010906;2.5
FLU;2023010907;2.2
FLU;2023010908;1.8
FLU;2023010909;1.4
FLU;2023010910;2.4
FLU;2023010911;4.3
FLU;2023010912;3.0
FLU;2023010913;3.1
FLU;2023010914;3.2
FLU;2023010915;2.1
FLU;2023010916;1.7
FLU;2023010917;1.7
FLU;2023010918;1.6
FLU;2023010919;0.9
FLU;2023010920;1.4
FLU;2023010921;1.5
FLU;2023010922;0.9
FLU;2023010923;1.3
FLU;2023011000;1.4
FLU;2023011001;0.8
FLU;2023011002;0.8
FLU;2023011003;0.2
FLU;2023011004;0.0
FLU;2023011005;0.5
FLU;2023011006;0.6
FLU;2023011007;0.6
FLU;2023011008;0.5
