 

stn;time;tre200h0
INNLUZ;2022123100;8.2
INNLUZ;2022123101;8.9
INNLUZ;2022123102;8.6
INNLUZ;2022123103;9.0
INNLUZ;2022123104;8.9
INNLUZ;2022123105;8.8
INNLUZ;2022123106;8.7
INNLUZ;2022123107;8.4
INNLUZ;2022123108;8.0
INNLUZ;2022123109;8.1
INNLUZ;2022123110;9.7
INNLUZ;2022123111;11.3
INNLUZ;2022123112;12.2
INNLUZ;2022123113;12.9
INNLUZ;2022123114;12.7
INNLUZ;2022123115;12.4
INNLUZ;2022123116;11.7
INNLUZ;2022123117;10.6
INNLUZ;2022123118;9.7
INNLUZ;2022123119;9.0
INNLUZ;2022123120;8.4
INNLUZ;2022123121;8.0
INNLUZ;2022123122;7.8
INNLUZ;2022123123;7.4
INNLUZ;2023010100;7.3
INNLUZ;2023010101;7.1
INNLUZ;2023010102;6.9
INNLUZ;2023010103;6.9
INNLUZ;2023010104;6.4
INNLUZ;2023010105;6.0
INNLUZ;2023010106;6.2
INNLUZ;2023010107;5.9
INNLUZ;2023010108;5.7
INNLUZ;2023010109;6.7
INNLUZ;2023010110;7.8
INNLUZ;2023010111;9.5
INNLUZ;2023010112;10.9
INNLUZ;2023010113;11.9
INNLUZ;2023010114;12.9
INNLUZ;2023010115;12.8
INNLUZ;2023010116;11.3
INNLUZ;2023010117;9.6
INNLUZ;2023010118;8.7
INNLUZ;2023010119;8.6
INNLUZ;2023010120;8.3
INNLUZ;2023010121;7.7
INNLUZ;2023010122;7.1
INNLUZ;2023010123;6.8
INNLUZ;2023010200;6.8
INNLUZ;2023010201;6.6
INNLUZ;2023010202;6.0
INNLUZ;2023010203;5.6
INNLUZ;2023010204;5.5
INNLUZ;2023010205;5.5
INNLUZ;2023010206;5.3
INNLUZ;2023010207;5.0
INNLUZ;2023010208;5.2
INNLUZ;2023010209;5.9
INNLUZ;2023010210;7.1
INNLUZ;2023010211;8.6
INNLUZ;2023010212;10.8
INNLUZ;2023010213;11.7
INNLUZ;2023010214;12.6
INNLUZ;2023010215;12.5
