 

stn;time;sre000h0
LUZ;2022123100;0
LUZ;2022123101;0
LUZ;2022123102;0
LUZ;2022123103;0
LUZ;2022123104;0
LUZ;2022123105;0
LUZ;2022123106;0
LUZ;2022123107;0
LUZ;2022123108;0
LUZ;2022123109;42
LUZ;2022123110;60
LUZ;2022123111;55
LUZ;2022123112;15
LUZ;2022123113;0
LUZ;2022123114;0
LUZ;2022123115;0
LUZ;2022123116;0
LUZ;2022123117;0
LUZ;2022123118;0
LUZ;2022123119;0
LUZ;2022123120;0
LUZ;2022123121;0
LUZ;2022123122;0
LUZ;2022123123;0
LUZ;2023010100;0
LUZ;2023010101;0
LUZ;2023010102;0
LUZ;2023010103;0
LUZ;2023010104;0
LUZ;2023010105;0
LUZ;2023010106;0
LUZ;2023010107;0
LUZ;2023010108;4
LUZ;2023010109;44
LUZ;2023010110;46
LUZ;2023010111;60
LUZ;2023010112;60
LUZ;2023010113;60
LUZ;2023010114;60
LUZ;2023010115;29
LUZ;2023010116;0
LUZ;2023010117;0
LUZ;2023010118;0
LUZ;2023010119;0
LUZ;2023010120;0
LUZ;2023010121;0
LUZ;2023010122;0
LUZ;2023010123;0
LUZ;2023010200;0
LUZ;2023010201;0
LUZ;2023010202;0
LUZ;2023010203;0
LUZ;2023010204;0
LUZ;2023010205;0
LUZ;2023010206;0
LUZ;2023010207;0
LUZ;2023010208;0
LUZ;2023010209;0
LUZ;2023010210;0
LUZ;2023010211;17
LUZ;2023010212;6
LUZ;2023010213;34
LUZ;2023010214;9
LUZ;2023010215;0
LUZ;2023010216;0
LUZ;2023010217;0
LUZ;2023010218;0
LUZ;2023010219;0
LUZ;2023010220;0
LUZ;2023010221;0
LUZ;2023010222;0
LUZ;2023010223;0
LUZ;2023010300;0
LUZ;2023010301;0
LUZ;2023010302;0
LUZ;2023010303;0
LUZ;2023010304;0
LUZ;2023010305;0
LUZ;2023010306;0
LUZ;2023010307;0
LUZ;2023010308;0
LUZ;2023010309;0
LUZ;2023010310;0
LUZ;2023010311;0
LUZ;2023010312;0
LUZ;2023010313;0
LUZ;2023010314;0
LUZ;2023010315;0
LUZ;2023010316;0
LUZ;2023010317;0
LUZ;2023010318;0
LUZ;2023010319;0
LUZ;2023010320;0
LUZ;2023010321;0
LUZ;2023010322;0
LUZ;2023010323;0
LUZ;2023010400;0
LUZ;2023010401;0
LUZ;2023010402;0
LUZ;2023010403;0
LUZ;2023010404;0
LUZ;2023010405;0
LUZ;2023010406;0
LUZ;2023010407;0
LUZ;2023010408;2
LUZ;2023010409;4
LUZ;2023010410;0
LUZ;2023010411;0
LUZ;2023010412;0
LUZ;2023010413;0
LUZ;2023010414;0
LUZ;2023010415;0
LUZ;2023010416;0
LUZ;2023010417;0
LUZ;2023010418;0
LUZ;2023010419;0
LUZ;2023010420;0
LUZ;2023010421;0
LUZ;2023010422;0
LUZ;2023010423;0
LUZ;2023010500;0
LUZ;2023010501;0
LUZ;2023010502;0
LUZ;2023010503;0
LUZ;2023010504;0
LUZ;2023010505;0
LUZ;2023010506;0
LUZ;2023010507;0
LUZ;2023010508;0
LUZ;2023010509;0
LUZ;2023010510;0
LUZ;2023010511;0
LUZ;2023010512;0
LUZ;2023010513;0
LUZ;2023010514;0
LUZ;2023010515;1
LUZ;2023010516;0
LUZ;2023010517;0
LUZ;2023010518;0
LUZ;2023010519;0
LUZ;2023010520;0
LUZ;2023010521;0
LUZ;2023010522;0
LUZ;2023010523;0
LUZ;2023010600;0
LUZ;2023010601;0
LUZ;2023010602;0
LUZ;2023010603;0
LUZ;2023010604;0
LUZ;2023010605;0
LUZ;2023010606;0
LUZ;2023010607;0
LUZ;2023010608;0
LUZ;2023010609;0
LUZ;2023010610;5
LUZ;2023010611;32
LUZ;2023010612;21
LUZ;2023010613;0
LUZ;2023010614;0
LUZ;2023010615;0
LUZ;2023010616;0
LUZ;2023010617;0
LUZ;2023010618;0
LUZ;2023010619;0
LUZ;2023010620;0
LUZ;2023010621;0
LUZ;2023010622;0
LUZ;2023010623;0
LUZ;2023010700;0
LUZ;2023010701;0
LUZ;2023010702;0
LUZ;2023010703;0
LUZ;2023010704;0
LUZ;2023010705;0
LUZ;2023010706;0
LUZ;2023010707;0
LUZ;2023010708;0
LUZ;2023010709;0
LUZ;2023010710;0
LUZ;2023010711;60
LUZ;2023010712;60
LUZ;2023010713;60
LUZ;2023010714;60
LUZ;2023010715;33
LUZ;2023010716;0
LUZ;2023010717;0
LUZ;2023010718;0
LUZ;2023010719;0
LUZ;2023010720;0
LUZ;2023010721;0
LUZ;2023010722;0
LUZ;2023010723;0
LUZ;2023010800;0
LUZ;2023010801;0
LUZ;2023010802;0
LUZ;2023010803;0
LUZ;2023010804;0
LUZ;2023010805;0
LUZ;2023010806;0
LUZ;2023010807;0
LUZ;2023010808;0
LUZ;2023010809;0
LUZ;2023010810;0
LUZ;2023010811;0
LUZ;2023010812;0
LUZ;2023010813;2
LUZ;2023010814;0
LUZ;2023010815;0
LUZ;2023010816;0
LUZ;2023010817;0
LUZ;2023010818;0
LUZ;2023010819;0
LUZ;2023010820;0
LUZ;2023010821;0
LUZ;2023010822;0
LUZ;2023010823;0
LUZ;2023010900;0
LUZ;2023010901;0
LUZ;2023010902;0
LUZ;2023010903;0
LUZ;2023010904;0
LUZ;2023010905;0
LUZ;2023010906;0
LUZ;2023010907;0
LUZ;2023010908;0
LUZ;2023010909;39
LUZ;2023010910;45
LUZ;2023010911;53
LUZ;2023010912;6
LUZ;2023010913;1
LUZ;2023010914;27
LUZ;2023010915;7
LUZ;2023010916;0
LUZ;2023010917;0
LUZ;2023010918;0
LUZ;2023010919;0
LUZ;2023010920;0
LUZ;2023010921;0
LUZ;2023010922;0
LUZ;2023010923;0
LUZ;2023011000;0
LUZ;2023011001;0
LUZ;2023011002;0
LUZ;2023011003;0
LUZ;2023011004;0
LUZ;2023011005;0
LUZ;2023011006;0
LUZ;2023011007;0
LUZ;2023011008;0
LUZ;2023011009;0
LUZ;2023011010;0
LUZ;2023011011;43
LUZ;2023011012;50
LUZ;2023011013;47
LUZ;2023011014;60
LUZ;2023011015;32
LUZ;2023011016;0
LUZ;2023011017;0
LUZ;2023011018;0
LUZ;2023011019;0
LUZ;2023011020;0
LUZ;2023011021;0
LUZ;2023011022;0
LUZ;2023011023;0
LUZ;2023011100;0
LUZ;2023011101;0
LUZ;2023011102;0
LUZ;2023011103;0
LUZ;2023011104;0
LUZ;2023011105;0
LUZ;2023011106;0
LUZ;2023011107;0
LUZ;2023011108;0
LUZ;2023011109;4
LUZ;2023011110;0
LUZ;2023011111;0
LUZ;2023011112;0
LUZ;2023011113;0
LUZ;2023011114;0
LUZ;2023011115;0
LUZ;2023011116;0
LUZ;2023011117;0
LUZ;2023011118;0
LUZ;2023011119;0
LUZ;2023011120;0
LUZ;2023011121;0
LUZ;2023011122;0
LUZ;2023011123;0
LUZ;2023011200;0
LUZ;2023011201;0
LUZ;2023011202;0
LUZ;2023011203;0
LUZ;2023011204;0
LUZ;2023011205;0
LUZ;2023011206;0
LUZ;2023011207;0
LUZ;2023011208;3
LUZ;2023011209;0
LUZ;2023011210;0
LUZ;2023011211;0
LUZ;2023011212;0
LUZ;2023011213;0
LUZ;2023011214;0
LUZ;2023011215;0
LUZ;2023011216;0
LUZ;2023011217;0
LUZ;2023011218;0
LUZ;2023011219;0
LUZ;2023011220;0
LUZ;2023011221;0
LUZ;2023011222;0
LUZ;2023011223;0
LUZ;2023011300;0
LUZ;2023011301;0
LUZ;2023011302;0
LUZ;2023011303;0
LUZ;2023011304;0
LUZ;2023011305;0
LUZ;2023011306;0
LUZ;2023011307;0
LUZ;2023011308;0
LUZ;2023011309;0
LUZ;2023011310;1
LUZ;2023011311;1
LUZ;2023011312;41
LUZ;2023011313;10
LUZ;2023011314;0
LUZ;2023011315;2
LUZ;2023011316;0
LUZ;2023011317;0
LUZ;2023011318;0
LUZ;2023011319;0
LUZ;2023011320;0
LUZ;2023011321;0
LUZ;2023011322;0
LUZ;2023011323;0
LUZ;2023011400;0
LUZ;2023011401;0
LUZ;2023011402;0
LUZ;2023011403;0
LUZ;2023011404;0
LUZ;2023011405;0
LUZ;2023011406;0
LUZ;2023011407;0
LUZ;2023011408;10
LUZ;2023011409;4
LUZ;2023011410;14
LUZ;2023011411;24
