 

stn;time;sre000h0
SPF;2022123100;0
SPF;2022123101;0
SPF;2022123102;0
SPF;2022123103;0
SPF;2022123104;0
SPF;2022123105;0
SPF;2022123106;0
SPF;2022123107;0
SPF;2022123108;0
SPF;2022123109;0
SPF;2022123110;40
SPF;2022123111;54
SPF;2022123112;30
SPF;2022123113;2
SPF;2022123114;0
SPF;2022123115;0
SPF;2022123116;0
SPF;2022123117;0
SPF;2022123118;0
SPF;2022123119;0
SPF;2022123120;0
SPF;2022123121;0
SPF;2022123122;0
SPF;2022123123;0
SPF;2023010100;0
SPF;2023010101;0
SPF;2023010102;0
SPF;2023010103;0
SPF;2023010104;0
SPF;2023010105;0
SPF;2023010106;0
SPF;2023010107;0
SPF;2023010108;0
SPF;2023010109;0
SPF;2023010110;26
SPF;2023010111;60
SPF;2023010112;60
SPF;2023010113;60
SPF;2023010114;60
SPF;2023010115;41
SPF;2023010116;5
SPF;2023010117;0
SPF;2023010118;0
SPF;2023010119;0
SPF;2023010120;0
SPF;2023010121;0
SPF;2023010122;0
SPF;2023010123;0
SPF;2023010200;0
SPF;2023010201;0
SPF;2023010202;0
SPF;2023010203;0
SPF;2023010204;0
SPF;2023010205;0
SPF;2023010206;0
SPF;2023010207;0
SPF;2023010208;0
SPF;2023010209;0
SPF;2023010210;3
SPF;2023010211;39
SPF;2023010212;11
SPF;2023010213;39
SPF;2023010214;15
SPF;2023010215;0
SPF;2023010216;0
SPF;2023010217;0
SPF;2023010218;0
SPF;2023010219;0
SPF;2023010220;0
SPF;2023010221;0
SPF;2023010222;0
SPF;2023010223;0
SPF;2023010300;0
SPF;2023010301;0
SPF;2023010302;0
SPF;2023010303;0
SPF;2023010304;0
SPF;2023010305;0
SPF;2023010306;0
SPF;2023010307;0
SPF;2023010308;0
SPF;2023010309;0
SPF;2023010310;0
SPF;2023010311;0
SPF;2023010312;0
SPF;2023010313;0
SPF;2023010314;0
SPF;2023010315;0
SPF;2023010316;0
SPF;2023010317;0
SPF;2023010318;0
SPF;2023010319;0
SPF;2023010320;0
SPF;2023010321;0
SPF;2023010322;0
SPF;2023010323;0
SPF;2023010400;0
SPF;2023010401;0
SPF;2023010402;0
SPF;2023010403;0
SPF;2023010404;0
SPF;2023010405;0
SPF;2023010406;0
SPF;2023010407;0
SPF;2023010408;0
SPF;2023010409;0
SPF;2023010410;34
SPF;2023010411;11
SPF;2023010412;2
SPF;2023010413;0
SPF;2023010414;0
SPF;2023010415;0
SPF;2023010416;0
SPF;2023010417;0
SPF;2023010418;0
SPF;2023010419;0
SPF;2023010420;0
SPF;2023010421;0
SPF;2023010422;0
SPF;2023010423;0
SPF;2023010500;0
SPF;2023010501;0
SPF;2023010502;0
SPF;2023010503;0
SPF;2023010504;0
SPF;2023010505;0
SPF;2023010506;0
SPF;2023010507;0
SPF;2023010508;0
SPF;2023010509;0
SPF;2023010510;0
SPF;2023010511;0
SPF;2023010512;0
SPF;2023010513;0
SPF;2023010514;0
SPF;2023010515;0
SPF;2023010516;0
SPF;2023010517;0
SPF;2023010518;0
SPF;2023010519;0
SPF;2023010520;0
SPF;2023010521;0
SPF;2023010522;0
SPF;2023010523;0
SPF;2023010600;0
SPF;2023010601;0
SPF;2023010602;0
SPF;2023010603;0
SPF;2023010604;0
SPF;2023010605;0
SPF;2023010606;0
SPF;2023010607;0
SPF;2023010608;0
SPF;2023010609;0
SPF;2023010610;30
SPF;2023010611;0
SPF;2023010612;0
SPF;2023010613;1
SPF;2023010614;0
SPF;2023010615;0
SPF;2023010616;0
SPF;2023010617;0
SPF;2023010618;0
SPF;2023010619;0
SPF;2023010620;0
SPF;2023010621;0
SPF;2023010622;0
SPF;2023010623;0
SPF;2023010700;0
SPF;2023010701;0
SPF;2023010702;0
SPF;2023010703;0
SPF;2023010704;0
SPF;2023010705;0
SPF;2023010706;0
SPF;2023010707;0
SPF;2023010708;0
SPF;2023010709;0
SPF;2023010710;40
SPF;2023010711;60
SPF;2023010712;60
SPF;2023010713;60
SPF;2023010714;45
SPF;2023010715;52
SPF;2023010716;10
SPF;2023010717;0
SPF;2023010718;0
