 

stn;time;tre200h0
SPF;2022123100;11.8
SPF;2022123101;12.7
SPF;2022123102;11.4
SPF;2022123103;10.1
SPF;2022123104;10.3
SPF;2022123105;8.1
SPF;2022123106;7.2
SPF;2022123107;6.6
SPF;2022123108;6.0
SPF;2022123109;5.9
SPF;2022123110;7.7
SPF;2022123111;9.9
SPF;2022123112;11.0
SPF;2022123113;11.7
SPF;2022123114;11.6
SPF;2022123115;10.5
SPF;2022123116;9.8
SPF;2022123117;7.7
SPF;2022123118;6.7
SPF;2022123119;6.5
SPF;2022123120;6.1
SPF;2022123121;5.7
SPF;2022123122;5.2
SPF;2022123123;5.3
SPF;2023010100;4.9
SPF;2023010101;5.6
SPF;2023010102;5.0
SPF;2023010103;5.4
SPF;2023010104;5.4
SPF;2023010105;4.7
SPF;2023010106;5.8
SPF;2023010107;4.4
SPF;2023010108;3.8
SPF;2023010109;4.4
SPF;2023010110;6.1
SPF;2023010111;9.3
SPF;2023010112;11.8
SPF;2023010113;13.0
SPF;2023010114;12.8
SPF;2023010115;10.9
SPF;2023010116;8.2
SPF;2023010117;6.1
SPF;2023010118;6.0
SPF;2023010119;6.0
SPF;2023010120;5.1
SPF;2023010121;4.6
SPF;2023010122;4.1
SPF;2023010123;4.0
SPF;2023010200;3.9
SPF;2023010201;2.6
SPF;2023010202;3.5
SPF;2023010203;2.9
SPF;2023010204;2.7
SPF;2023010205;3.1
SPF;2023010206;3.2
SPF;2023010207;2.7
SPF;2023010208;2.8
SPF;2023010209;3.7
SPF;2023010210;5.7
SPF;2023010211;7.8
SPF;2023010212;9.3
SPF;2023010213;12.1
SPF;2023010214;11.2
SPF;2023010215;11.8
SPF;2023010216;12.0
SPF;2023010217;10.9
SPF;2023010218;10.5
SPF;2023010219;9.5
SPF;2023010220;8.4
SPF;2023010221;9.0
SPF;2023010222;8.2
SPF;2023010223;7.4
SPF;2023010300;7.0
SPF;2023010301;6.6
SPF;2023010302;6.2
SPF;2023010303;6.0
SPF;2023010304;6.0
SPF;2023010305;5.8
SPF;2023010306;5.6
