bfsID;meteoParameter;meteoStation
1001;tre200h0;SPF
1002;tre200h0;SPF
1004;tre200h0;FLU
1005;tre200h0;SPF
1007;tre200h0;SPF
1008;tre200h0;SPF
1009;tre200h0;SPF
1010;tre200h0;BEMBE
1021;tre200h0;MOA
1023;tre200h0;EMM
1024;tre200h0;EMM
1025;tre200h0;MOA
1026;tre200h0;EMM
1030;tre200h0;MOA
1031;tre200h0;MOA
1032;tre200h0;MOA
1033;tre200h0;EMM
1037;tre200h0;EMM
1039;tre200h0;MOA
1040;tre200h0;EMM
1041;tre200h0;MOA
1051;tre200h0;INNEBI
1052;tre200h0;EMM
1053;tre200h0;INNEBI
1054;tre200h0;INNEBI
1055;tre200h0;INNEBI
1056;tre200h0;LUZ
1057;tre200h0;INNEBI
1058;tre200h0;LUZ
1059;tre200h0;LUZ
1061;tre200h0;LUZ
1062;tre200h0;LUZ
1063;tre200h0;LUZ
1064;tre200h0;LUZ
1065;tre200h0;INNEBI
1066;tre200h0;LUZ
1067;tre200h0;LUZ
1068;tre200h0;LUZ
1069;tre200h0;LUZ
1081;tre200h0;NABBRM
1082;tre200h0;MMTRG
1083;tre200h0;EGO
1084;tre200h0;NABBRM
1085;tre200h0;MMTRG
1086;tre200h0;EGO
1088;tre200h0;NABBRM
1089;tre200h0;MMTRG
1091;tre200h0;EGO
1093;tre200h0;EMM
1094;tre200h0;EMM
1095;tre200h0;EGO
1097;tre200h0;NABBRM
1098;tre200h0;LUZ
1099;tre200h0;NABBRM
1100;tre200h0;MMTRG
1102;tre200h0;EMM
1103;tre200h0;EGO
1104;tre200h0;MMTRG
1107;tre200h0;SPF
1121;tre200h0;EGO
1122;tre200h0;INNRED
1123;tre200h0;INNRED
1125;tre200h0;INNRED
1127;tre200h0;EGO
1128;tre200h0;EGO
1129;tre200h0;EGO
1131;tre200h0;EGO
1132;tre200h0;EGO
1135;tre200h0;EGO
1136;tre200h0;SPF
1137;tre200h0;EGO
1139;tre200h0;INNRED
1140;tre200h0;INNRED
1142;tre200h0;INNRED
1143;tre200h0;EGO
1145;tre200h0;EGO
1146;tre200h0;EGO
1147;tre200h0;INNRED
1150;tre200h0;EGO
1151;tre200h0;EGO
1001;rre150h0;ZELUFT
1002;rre150h0;ENT
1004;rre150h0;FLU
1005;rre150h0;ZELUZI
1007;rre150h0;ZELUFT
1008;rre150h0;SPF
1009;rre150h0;ZELUSH
1010;rre150h0;ZELUWI
1021;rre150h0;ZELUAE
1023;rre150h0;ZELUEB
1024;rre150h0;ZELURS
1025;rre150h0;MOA
1026;rre150h0;ZELUEB
1030;rre150h0;MOA
1030;rre150h0;ZELUHB
1031;rre150h0;LUHOC
1032;rre150h0;LUHOC
1033;rre150h0;ZELUGI
1037;rre150h0;ZELURO
1039;rre150h0;LUHOC
1040;rre150h0;ZELURO
1041;rre150h0;ZELUSG
1051;rre150h0;ZELUMK
1052;rre150h0;ZELUBR
1053;rre150h0;ZELUBR
1054;rre150h0;ZELUBD
1055;rre150h0;ZELUGI
1056;rre150h0;ZELUZI
1056;rre150h0;ZGGRE
1057;rre150h0;ZELUGI
1058;rre150h0;ZELUHA
1059;rre150h0;ZELUGB
1061;rre150h0;LUZ
1061;rre150h0;ZELULI
1062;rre150h0;LUMAL
1062;rre150h0;ZELULB
1062;rre150h0;ZELUUM
1063;rre150h0;ZELUMK
1064;rre150h0;ZELUMK
1065;rre150h0;LUROO
1066;rre150h0;ZELUSB
1067;rre150h0;ZELUMK
1068;rre150h0;ZELUVI
1069;rre150h0;ZELUWE
1081;rre150h0;NABBRM
1081;rre150h0;ZELUHE
1082;rre150h0;MMTRG
1083;rre150h0;ZELUBH
1084;rre150h0;ZELUTB
1085;rre150h0;ZELUTB
1086;rre150h0;ZELUBH
1088;rre150h0;ZELUHR
1089;rre150h0;ZELUKH
1091;rre150h0;ZELUKW
1093;rre150h0;ZELUNK
1093;rre150h0;ZELUTG
1094;rre150h0;ZELUNK
1095;rre150h0;ZELUOK
1097;rre150h0;ZELURI
1098;rre150h0;ZELURU
1099;rre150h0;ZELUTB
1100;rre150h0;ZELURI
1102;rre150h0;LUSEM
1103;rre150h0;LUSUR
1104;rre150h0;MMTRG
1104;rre150h0;ZELUTR
1107;rre150h0;LUWOL
1121;rre150h0;ZELUAW
1122;rre150h0;ZELURW
1123;rre150h0;EGO
1125;rre150h0;ZELUBU
1125;rre150h0;ZELUST
1127;rre150h0;EGO
1128;rre150h0;ZELUKW
1129;rre150h0;ZELUUF
1131;rre150h0;ZELUUF
1132;rre150h0;ZELUHW
1135;rre150h0;ZELUHW
1136;rre150h0;ZELUMB
1136;rre150h0;ZELUME
1137;rre150h0;EGO
1139;rre150h0;ZELURW
1140;rre150h0;LULAN
1142;rre150h0;ZELURW
1143;rre150h0;ZELUAW
1145;rre150h0;ZELUUF
1146;rre150h0;EGO
1147;rre150h0;ZELUWK
1150;rre150h0;ZELUGE
1151;rre150h0;LUWIL
1151;rre150h0;ZELUGE
1001;sre000h0;SPF
1002;sre000h0;SPF
1004;sre000h0;SPF
1005;sre000h0;SPF
1007;sre000h0;SPF
1008;sre000h0;SPF
1009;sre000h0;SPF
1010;sre000h0;SPF
1021;sre000h0;MOA
1023;sre000h0;MOA
1024;sre000h0;LUZ
1025;sre000h0;MOA
1026;sre000h0;LUZ
1030;sre000h0;MOA
1031;sre000h0;MOA
1032;sre000h0;MOA
1033;sre000h0;LUZ
1037;sre000h0;LUZ
1039;sre000h0;MOA
1040;sre000h0;LUZ
1041;sre000h0;MOA
1051;sre000h0;LUZ
1052;sre000h0;LUZ
1053;sre000h0;LUZ
1054;sre000h0;LUZ
1055;sre000h0;LUZ
1056;sre000h0;LUZ
1057;sre000h0;LUZ
1058;sre000h0;LUZ
1059;sre000h0;LUZ
1061;sre000h0;LUZ
1062;sre000h0;LUZ
1063;sre000h0;LUZ
1064;sre000h0;LUZ
1065;sre000h0;LUZ
1066;sre000h0;LUZ
1067;sre000h0;LUZ
1068;sre000h0;LUZ
1069;sre000h0;LUZ
1081;sre000h0;MOA
1082;sre000h0;EGO
1083;sre000h0;EGO
1084;sre000h0;EGO
1085;sre000h0;EGO
1086;sre000h0;EGO
1088;sre000h0;MOA
1089;sre000h0;EGO
1091;sre000h0;EGO
1093;sre000h0;LUZ
1094;sre000h0;EGO
1095;sre000h0;EGO
1097;sre000h0;MOA
1098;sre000h0;LUZ
1099;sre000h0;EGO
1100;sre000h0;MOA
1102;sre000h0;LUZ
1103;sre000h0;EGO
1104;sre000h0;EGO
1107;sre000h0;SPF
1121;sre000h0;EGO
1122;sre000h0;EGO
1123;sre000h0;EGO
1125;sre000h0;EGO
1127;sre000h0;EGO
1128;sre000h0;EGO
1129;sre000h0;EGO
1131;sre000h0;EGO
1132;sre000h0;EGO
1135;sre000h0;SPF
1136;sre000h0;SPF
1137;sre000h0;EGO
1139;sre000h0;EGO
1140;sre000h0;EGO
1142;sre000h0;EGO
1143;sre000h0;EGO
1145;sre000h0;EGO
1146;sre000h0;EGO
1147;sre000h0;EGO
1150;sre000h0;EGO
1151;sre000h0;EGO
